bit_num,problem,mode,seed,Objective value,Solving time,num_generators
5,300,scip_knapsack,0,-39064317775,1440.621688,640
5,300,scip_knapsack,1,-39064320786,3600.024342,640
5,300,scip_knapsack,2,-39064299329,1221.988697,640
5,300,scip_knapsack,3,-39064316809,1413.662931,640
5,300,scip_knapsack,4,-39064318822,1398.904774,640
5,301,scip_knapsack,0,-44397821758,3600.007652,640
5,301,scip_knapsack,1,-44397828438,3600.082112,640
5,301,scip_knapsack,2,-44397815916,3600.002279,640
5,301,scip_knapsack,3,-44397826893,3600.007229,640
5,301,scip_knapsack,4,-44397834245,3600.16683,640
5,302,scip_knapsack,0,-46301729394,3600.062787,640
5,302,scip_knapsack,1,-46301690046,3600.003472,640
5,302,scip_knapsack,2,-46301690498,3600.009452,640
5,302,scip_knapsack,3,-46301667741,3600.005644,640
5,302,scip_knapsack,4,-46301661113,3600.004458,640
5,303,scip_knapsack,0,-43764098146,3600.014867,640
5,303,scip_knapsack,1,-43764091543,3600.232532,640
5,303,scip_knapsack,2,-43764090364,3600.241313,640
5,303,scip_knapsack,3,-43764097611,3600.016325,640
5,303,scip_knapsack,4,-43764065849,3600.017682,640
5,304,scip_knapsack,0,-43632721135,3600.032212,640
5,304,scip_knapsack,1,-43632719669,3600.021813,640
5,304,scip_knapsack,2,-43632766708,3600.030339,640
5,304,scip_knapsack,3,-43632721135,3600.066794,640
5,304,scip_knapsack,4,-43632712547,3600.038619,640
5,305,scip_knapsack,0,-41278139130,3600.023806,640
5,305,scip_knapsack,1,-41278132764,3600.044682,640
5,305,scip_knapsack,2,-41278114360,3600.008426,640
5,305,scip_knapsack,3,-41278134193,3600.036939,640
5,305,scip_knapsack,4,-41278138426,3600.038149,640
5,306,scip_knapsack,0,-41673646893,114.320663,640
5,306,scip_knapsack,1,-41673625408,96.77537,640
5,306,scip_knapsack,2,-41673653754,102.456434,640
5,306,scip_knapsack,3,-41673647829,101.301971,640
5,306,scip_knapsack,4,-41673651638,103.361365,640
5,307,scip_knapsack,0,-43107446813,109.445509,640
5,307,scip_knapsack,1,-43107451082,3600.00772,640
5,307,scip_knapsack,2,-43107452744,109.082158,640
5,307,scip_knapsack,3,-43107443342,114.212031,640
5,307,scip_knapsack,4,-43107460997,3600.010392,640
5,308,scip_knapsack,0,-42468906385,931.234481,640
5,308,scip_knapsack,1,-42468884450,458.071921,640
5,308,scip_knapsack,2,-42468857381,3600.036559,640
5,308,scip_knapsack,3,-42468890842,3600.022005,640
5,308,scip_knapsack,4,-42468880054,3600.024058,640
5,309,scip_knapsack,0,-42530049696,400.710643,640
5,309,scip_knapsack,1,-42530040526,344.277263,640
5,309,scip_knapsack,2,-42529998484,338.197207,640
5,309,scip_knapsack,3,-42530049792,331.300764,640
5,309,scip_knapsack,4,-42530047982,347.784981,640
5,310,scip_knapsack,0,-42448272818,95.857339,640
5,310,scip_knapsack,1,-42448272818,94.492815,640
5,310,scip_knapsack,2,-42448272818,86.509559,640
5,310,scip_knapsack,3,-42448272818,99.994369,640
5,310,scip_knapsack,4,-42448272818,85.378009,640
5,311,scip_knapsack,0,-41213026107,191.574792,640
5,311,scip_knapsack,1,-41213026444,435.439329,640
5,311,scip_knapsack,2,-41213026838,109.492468,640
5,311,scip_knapsack,3,-41213006140,107.558785,640
5,311,scip_knapsack,4,-41213028666,129.286918,640
5,312,scip_knapsack,0,-44086005077,109.168823,640
5,312,scip_knapsack,1,-44086007123,122.19154,640
5,312,scip_knapsack,2,-44085981329,117.451305,640
5,312,scip_knapsack,3,-44085992840,112.008273,640
5,312,scip_knapsack,4,-44085994926,169.73966,640
5,313,scip_knapsack,0,-41579594107,231.838564,640
5,313,scip_knapsack,1,-41579630047,490.8362,640
5,313,scip_knapsack,2,-41579599266,251.364862,640
5,313,scip_knapsack,3,-41579615572,652.504324,640
5,313,scip_knapsack,4,-41579596379,354.056308,640
5,314,scip_knapsack,0,-41930999426,74.465038,640
