bit_num,problem,mode,seed,Objective value,Solving time,num_generators
2,300,scip_knapsack,0,-38832236902,82.787189,640
2,300,scip_knapsack,1,-38832236902,80.58464,640
2,300,scip_knapsack,2,-38832236902,82.633567,640
2,300,scip_knapsack,3,-38832236902,81.702132,640
2,300,scip_knapsack,4,-38832236902,72.787258,640
2,301,scip_knapsack,0,-44194466661,97.732611,640
2,301,scip_knapsack,1,-44194457912,110.096984,640
2,301,scip_knapsack,2,-44194460917,110.046048,640
2,301,scip_knapsack,3,-44194462047,90.49651,640
2,301,scip_knapsack,4,-44194465066,84.359035,640
2,302,scip_knapsack,0,-46224626847,128.56878,640
2,302,scip_knapsack,1,-46224696455,103.106079,640
2,302,scip_knapsack,2,-46224697488,116.675388,640
2,302,scip_knapsack,3,-46224626847,115.600203,640
2,302,scip_knapsack,4,-46224626847,131.500261,640
2,303,scip_knapsack,0,-43673487310,363.110766,640
2,303,scip_knapsack,1,-43673462702,100.887802,640
2,303,scip_knapsack,2,-43673464561,129.869875,640
2,303,scip_knapsack,3,-43673464255,115.076416,640
2,303,scip_knapsack,4,-43673462702,90.691593,640
2,304,scip_knapsack,0,-43593580360,28.863137,640
2,304,scip_knapsack,1,-43593580360,29.222602,640
2,304,scip_knapsack,2,-43593580360,29.080148,640
2,304,scip_knapsack,3,-43593580360,29.293525,640
2,304,scip_knapsack,4,-43593580360,29.370589,640
2,305,scip_knapsack,0,-41053981940,105.655814,640
2,305,scip_knapsack,1,-41053987160,108.93934,640
2,305,scip_knapsack,2,-41053987160,110.695977,640
2,305,scip_knapsack,3,-41053981940,112.828363,640
2,305,scip_knapsack,4,-41053987160,111.63186,640
2,306,scip_knapsack,0,-41522782795,120.709724,640
2,306,scip_knapsack,1,-41522782795,115.883415,640
2,306,scip_knapsack,2,-41522782795,107.044907,640
2,306,scip_knapsack,3,-41522782795,116.986748,640
2,306,scip_knapsack,4,-41522782795,109.532231,640
2,307,scip_knapsack,0,-42947754130,229.995294,640
2,307,scip_knapsack,1,-42947816676,207.679929,640
2,307,scip_knapsack,2,-42947766645,226.374516,640
2,307,scip_knapsack,3,-42947738885,225.528941,640
2,307,scip_knapsack,4,-42947816676,206.171127,640
2,308,scip_knapsack,0,-42345755937,165.571628,640
2,308,scip_knapsack,1,-42345755937,158.592108,640
2,308,scip_knapsack,2,-42345755937,164.285443,640
2,308,scip_knapsack,3,-42345755937,161.267942,640
2,308,scip_knapsack,4,-42345755937,161.930647,640
2,309,scip_knapsack,0,-42414482720,67.133568,640
2,309,scip_knapsack,1,-42414482720,67.121315,640
2,309,scip_knapsack,2,-42414482720,60.938446,640
2,309,scip_knapsack,3,-42414482720,62.23572,640
