bit_num,problem,mode,seed,Objective value,Solving time,num_generators
4,300,scip_no_symmetry,0,-39049095960,90.747693,0
4,300,scip_no_symmetry,1,-39049095960,94.140212,0
4,300,scip_no_symmetry,2,-39049095960,98.666193,0
4,300,scip_no_symmetry,3,-39049095960,97.87529,0
4,300,scip_no_symmetry,4,-39049095960,88.392128,0
4,301,scip_no_symmetry,0,-44396838001,3600.019294,0
4,301,scip_no_symmetry,1,-44396995530,3600.015774,0
4,301,scip_no_symmetry,2,-44397010817,3600.011031,0
4,301,scip_no_symmetry,3,-44396929605,3600.022656,0
4,301,scip_no_symmetry,4,-44396983635,3600.035722,0
4,302,scip_no_symmetry,0,-46301727724,91.293437,0
4,302,scip_no_symmetry,1,-46301793739,93.058325,0
4,302,scip_no_symmetry,2,-46301793739,96.985106,0
4,302,scip_no_symmetry,3,-46301790979,96.327941,0
4,302,scip_no_symmetry,4,-46301793739,93.833965,0
4,303,scip_no_symmetry,0,-43745540217,125.717814,0
4,303,scip_no_symmetry,1,-43745540217,129.662259,0
4,303,scip_no_symmetry,2,-43745540217,122.051729,0
4,303,scip_no_symmetry,3,-43745544701,130.449115,0
4,303,scip_no_symmetry,4,-43745544701,126.604823,0
4,304,scip_no_symmetry,0,-43629625265,3600.036474,0
4,304,scip_no_symmetry,1,-43629602083,3600.034558,0
4,304,scip_no_symmetry,2,-43629627490,3600.039283,0
4,304,scip_no_symmetry,3,-43629595103,3600.03573,0
4,304,scip_no_symmetry,4,-43629589512,3600.014866,0
4,305,scip_no_symmetry,0,-41276384450,3600.032253,0
4,305,scip_no_symmetry,1,-41276385189,3600.04375,0
4,305,scip_no_symmetry,2,-41276377647,3600.042225,0
4,305,scip_no_symmetry,3,-41276316118,3600.02122,0
4,305,scip_no_symmetry,4,-41276373230,3600.036159,0
4,306,scip_no_symmetry,0,-41673795261,88.421247,0
4,306,scip_no_symmetry,1,-41673791592,125.90307,0
4,306,scip_no_symmetry,2,-41673795261,87.479541,0
4,306,scip_no_symmetry,3,-41673791592,130.063142,0
4,306,scip_no_symmetry,4,-41673777720,78.778293,0
4,307,scip_no_symmetry,0,-43083469358,663.536362,0
4,307,scip_no_symmetry,1,-43083451674,254.740823,0
4,307,scip_no_symmetry,2,-43083552662,610.850662,0
4,307,scip_no_symmetry,3,-43083418557,670.668228,0
4,307,scip_no_symmetry,4,-43083593300,1100.795048,0
4,308,scip_no_symmetry,0,-42460802652,155.127317,0
4,308,scip_no_symmetry,1,-42460829128,3376.662412,0
4,308,scip_no_symmetry,2,-42460823786,290.292723,0
4,308,scip_no_symmetry,3,-42460792761,808.242915,0
4,308,scip_no_symmetry,4,-42460814254,213.469344,0
4,309,scip_no_symmetry,0,-42526612872,3600.03586,0
4,309,scip_no_symmetry,1,-42526612872,3600.037103,0
4,309,scip_no_symmetry,2,-42526608581,3600.038807,0
4,309,scip_no_symmetry,3,-42526613319,410.908082,0
4,309,scip_no_symmetry,4,-42526659146,458.629336,0
4,310,scip_no_symmetry,0,-42447272490,166.794053,0
4,310,scip_no_symmetry,1,-42447272490,158.113059,0
4,310,scip_no_symmetry,2,-42447272490,159.017415,0
4,310,scip_no_symmetry,3,-42447231276,99.115591,0
4,310,scip_no_symmetry,4,-42447246205,108.608133,0
4,311,scip_no_symmetry,0,-41208715698,690.059211,0
4,311,scip_no_symmetry,1,-41208723589,668.987804,0
4,311,scip_no_symmetry,2,-41208713632,427.602546,0
4,311,scip_no_symmetry,3,-41208702969,834.051507,0
4,311,scip_no_symmetry,4,-41208702413,418.331465,0
4,312,scip_no_symmetry,0,-44073112984,146.539414,0
4,312,scip_no_symmetry,1,-44073112984,149.053973,0
4,312,scip_no_symmetry,2,-44073112984,136.764835,0
4,312,scip_no_symmetry,3,-44073112984,146.696412,0
4,312,scip_no_symmetry,4,-44073112984,146.663172,0
4,313,scip_no_symmetry,0,-41575473520,227.248444,0
4,313,scip_no_symmetry,1,-41575483970,165.288369,0
4,313,scip_no_symmetry,2,-41575487847,3600.100225,0
4,313,scip_no_symmetry,3,-41575487533,3600.012403,0
4,313,scip_no_symmetry,4,-41575459071,194.522212,0
4,314,scip_no_symmetry,0,-41923270845,128.557232,0
4,314,scip_no_symmetry,1,-41923270845,126.884712,0
4,314,scip_no_symmetry,2,-41923270845,126.819352,0
4,314,scip_no_symmetry,3,-41923270845,126.041372,0
4,314,scip_no_symmetry,4,-41923270845,127.947327,0
4,315,scip_no_symmetry,0,-40836538406,132.104329,0
4,315,scip_no_symmetry,1,-40836525081,130.265594,0
4,315,scip_no_symmetry,2,-40836525081,147.212409,0
4,315,scip_no_symmetry,3,-40836523119,148.683641,0
4,315,scip_no_symmetry,4,-40836525081,141.111923,0
4,316,scip_no_symmetry,0,-45737104751,3600.87335,0
4,316,scip_no_symmetry,1,-45737104751,3600.407275,0
4,316,scip_no_symmetry,2,-45737104751,3601.191451,0
4,316,scip_no_symmetry,3,-45737104751,3600.352023,0
4,316,scip_no_symmetry,4,-45737104751,3600.425853,0
4,317,scip_no_symmetry,0,-40861699904,3600.003829,0
4,317,scip_no_symmetry,1,-40861741718,3600.9491,0
4,317,scip_no_symmetry,2,-40861692177,3600.008541,0
4,317,scip_no_symmetry,3,-40861697292,3600.007166,0
4,317,scip_no_symmetry,4,-40861711667,3152.855038,0
4,318,scip_no_symmetry,0,-37449916452,3600.005197,0
4,318,scip_no_symmetry,1,-37449916452,3600.00224,0
4,318,scip_no_symmetry,2,-37449903905,1091.198168,0
4,318,scip_no_symmetry,3,-37449916452,3600.006889,0
4,318,scip_no_symmetry,4,-37449916452,3600.015832,0
4,319,scip_no_symmetry,0,-41486873349,3600.00403,0
4,319,scip_no_symmetry,1,-41486922392,2402.828387,0
4,319,scip_no_symmetry,2,-41486920815,1034.09584,0
4,319,scip_no_symmetry,3,-41486921273,1768.609079,0
4,319,scip_no_symmetry,4,-41487014553,109.015507,0
4,320,scip_no_symmetry,0,-62640744632,3600.004407,0
4,320,scip_no_symmetry,1,-62640792918,3600.009246,0
4,320,scip_no_symmetry,2,-62640775628,3600.014446,0
4,320,scip_no_symmetry,3,-62640790129,3601.298012,0
4,320,scip_no_symmetry,4,-62640764491,3600.005592,0
4,321,scip_no_symmetry,0,-64773355539,292.427283,0
4,321,scip_no_symmetry,1,-64773350170,296.901512,0
4,321,scip_no_symmetry,2,-64773351920,321.8058,0
4,321,scip_no_symmetry,3,-64773359447,289.232633,0
4,321,scip_no_symmetry,4,-64773355539,282.051838,0
4,322,scip_no_symmetry,0,-55526616211,3600.011702,0
4,322,scip_no_symmetry,1,-55526559263,3600.090575,0
4,322,scip_no_symmetry,2,-55526651928,3600.017921,0
4,322,scip_no_symmetry,3,-55526663250,3600.026155,0
4,322,scip_no_symmetry,4,-55526639492,3600.003183,0
4,323,scip_no_symmetry,0,-57178229655,373.9187,0
4,323,scip_no_symmetry,1,-57178227675,361.549399,0
4,323,scip_no_symmetry,2,-57178227675,365.186498,0
4,323,scip_no_symmetry,3,-57178227675,342.737716,0
4,323,scip_no_symmetry,4,-57178227675,360.893541,0
4,324,scip_no_symmetry,0,-65136753175,3600.017168,0
4,324,scip_no_symmetry,1,-65136753175,3600.009163,0
4,324,scip_no_symmetry,2,-65136753175,3600.00994,0
4,324,scip_no_symmetry,3,-65136753175,3600.013641,0
4,324,scip_no_symmetry,4,-65136753175,3600.008184,0
4,325,scip_no_symmetry,0,-61624643432,231.887249,0
4,325,scip_no_symmetry,1,-61624643432,232.475922,0
4,325,scip_no_symmetry,2,-61624643432,229.332258,0
4,325,scip_no_symmetry,3,-61624634678,218.680089,0
4,325,scip_no_symmetry,4,-61624643432,224.13035,0
4,326,scip_no_symmetry,0,-61095404905,3600.209687,0
4,326,scip_no_symmetry,1,-61095416974,3601.475614,0
4,326,scip_no_symmetry,2,-61095539865,3603.10011,0
4,326,scip_no_symmetry,3,-61095403410,3600.730342,0
4,326,scip_no_symmetry,4,-61095539865,3600.694879,0
4,327,scip_no_symmetry,0,-64088418763,1640.742258,0
4,327,scip_no_symmetry,1,-64088398246,2529.485934,0
4,327,scip_no_symmetry,2,-64088402856,2564.354712,0
4,327,scip_no_symmetry,3,-64088405112,1397.413556,0
4,327,scip_no_symmetry,4,-64088275124,3600.003746,0
4,328,scip_no_symmetry,0,-64247080116,160.559607,0
4,328,scip_no_symmetry,1,-64247080116,162.98262,0
4,328,scip_no_symmetry,2,-64247075460,156.716803,0
4,328,scip_no_symmetry,3,-64247078993,158.793906,0
4,328,scip_no_symmetry,4,-64247080116,160.599541,0
4,329,scip_no_symmetry,0,-62239231412,2204.200891,0
4,329,scip_no_symmetry,1,-62239234957,2266.235558,0
4,329,scip_no_symmetry,2,-62239228390,1816.745656,0
4,329,scip_no_symmetry,3,-62239261953,1611.706097,0
4,329,scip_no_symmetry,4,-62239220799,1975.812507,0
4,330,scip_no_symmetry,0,-64408452083,354.870108,0
4,330,scip_no_symmetry,1,-64408452083,349.914037,0
4,330,scip_no_symmetry,2,-64408452083,349.071264,0
4,330,scip_no_symmetry,3,-64408452083,357.664144,0
4,330,scip_no_symmetry,4,-64408452083,355.759667,0
4,331,scip_no_symmetry,0,-62589541265,519.405108,0
4,331,scip_no_symmetry,1,-62589538039,804.565025,0
4,331,scip_no_symmetry,2,-62589540669,808.202495,0
4,331,scip_no_symmetry,3,-62589549089,1000.628068,0
4,331,scip_no_symmetry,4,-62589549142,155.353751,0
4,332,scip_no_symmetry,0,-67851629610,342.04965,0
4,332,scip_no_symmetry,1,-67851640451,290.171258,0
4,332,scip_no_symmetry,2,-67851566940,303.935798,0
4,332,scip_no_symmetry,3,-67851617938,329.097205,0
4,332,scip_no_symmetry,4,-67851558278,505.711993,0
4,333,scip_no_symmetry,0,-63124554875,282.458843,0
4,333,scip_no_symmetry,1,-63124554875,279.872101,0
4,333,scip_no_symmetry,2,-63124554875,271.572697,0
4,333,scip_no_symmetry,3,-63124554875,302.611914,0
4,333,scip_no_symmetry,4,-63124534947,399.675251,0
4,334,scip_no_symmetry,0,-63755872814,235.235516,0
4,334,scip_no_symmetry,1,-63755874411,235.021879,0
4,334,scip_no_symmetry,2,-63755872814,232.858881,0
4,334,scip_no_symmetry,3,-63755874411,233.509037,0
4,334,scip_no_symmetry,4,-63755872814,220.949285,0
4,335,scip_no_symmetry,0,-64712023714,615.069371,0
4,335,scip_no_symmetry,1,-64712024024,677.084754,0
4,335,scip_no_symmetry,2,-64712024398,503.20849,0
4,335,scip_no_symmetry,3,-64712029813,530.424849,0
4,335,scip_no_symmetry,4,-64712026102,579.107385,0
4,336,scip_no_symmetry,0,-68131836419,199.385347,0
4,336,scip_no_symmetry,1,-68131836419,199.854733,0
4,336,scip_no_symmetry,2,-68131836419,190.789794,0
4,336,scip_no_symmetry,3,-68131836419,196.949391,0
4,336,scip_no_symmetry,4,-68131836419,192.431134,0
4,337,scip_no_symmetry,0,-64394662844,1085.074708,0
4,337,scip_no_symmetry,1,-64394686151,557.100507,0
4,337,scip_no_symmetry,2,-64394580710,1325.531541,0
4,337,scip_no_symmetry,3,-64394681081,1833.485645,0
4,337,scip_no_symmetry,4,-64394598361,3065.395109,0
4,338,scip_no_symmetry,0,-57685422939,378.12616,0
4,338,scip_no_symmetry,1,-57685405640,583.745207,0
4,338,scip_no_symmetry,2,-57685417663,308.017499,0
4,338,scip_no_symmetry,3,-57685412319,1990.012615,0
4,338,scip_no_symmetry,4,-57685446508,374.600714,0
4,339,scip_no_symmetry,0,-61976958301,249.463694,0
4,339,scip_no_symmetry,1,-61976931324,251.518355,0
4,339,scip_no_symmetry,2,-61976952311,236.978953,0
4,339,scip_no_symmetry,3,-61977021984,255.040821,0
4,339,scip_no_symmetry,4,-61976954376,249.706033,0
4,340,scip_no_symmetry,0,-79986281694,3600.394572,0
4,340,scip_no_symmetry,1,-79986347075,1754.842775,0
4,340,scip_no_symmetry,2,-79986300273,3601.686396,0
4,340,scip_no_symmetry,3,-79986158042,740.950876,0
4,340,scip_no_symmetry,4,-79986300528,3602.934769,0
4,341,scip_no_symmetry,0,-85814364657,3600.26577,0
4,341,scip_no_symmetry,1,-85814394936,3600.004002,0
4,341,scip_no_symmetry,2,-85814352618,3600.001589,0
4,341,scip_no_symmetry,3,-85814321897,3600.621653,0
4,341,scip_no_symmetry,4,-85814360789,3600.012094,0
4,342,scip_no_symmetry,0,-86781130116,413.401518,0
4,342,scip_no_symmetry,1,-86781126274,415.073781,0
4,342,scip_no_symmetry,2,-86781126274,419.217439,0
4,342,scip_no_symmetry,3,-86781126274,412.928493,0
4,342,scip_no_symmetry,4,-86781126274,406.585838,0
4,343,scip_no_symmetry,0,-86474968922,423.282264,0
4,343,scip_no_symmetry,1,-86474968922,419.409078,0
4,343,scip_no_symmetry,2,-86474976556,434.012918,0
4,343,scip_no_symmetry,3,-86474968922,435.195716,0
4,343,scip_no_symmetry,4,-86474976556,427.348328,0
4,344,scip_no_symmetry,0,-81987784615,3602.111073,0
4,344,scip_no_symmetry,1,-81987789222,2081.703396,0
4,344,scip_no_symmetry,2,-81987820174,419.735102,0
4,344,scip_no_symmetry,3,-81987784615,2594.196423,0
4,344,scip_no_symmetry,4,-81987795763,3601.860844,0
4,345,scip_no_symmetry,0,-88493205373,3600.025941,0
4,345,scip_no_symmetry,1,-88493214044,1386.386154,0
4,345,scip_no_symmetry,2,-88493276987,3600.726719,0
4,345,scip_no_symmetry,3,-88493168774,3600.002941,0
4,345,scip_no_symmetry,4,-88493214044,1506.02332,0
4,346,scip_no_symmetry,0,-88506439635,233.866357,0
4,346,scip_no_symmetry,1,-88506438908,285.865772,0
4,346,scip_no_symmetry,2,-88506424556,325.670248,0
4,346,scip_no_symmetry,3,-88506441956,294.427705,0
4,346,scip_no_symmetry,4,-88506432603,245.971325,0
4,347,scip_no_symmetry,0,-82498187495,2753.093434,0
4,347,scip_no_symmetry,1,-82498294415,734.623251,0
4,347,scip_no_symmetry,2,-82498200820,3600.010545,0
4,347,scip_no_symmetry,3,-82498159966,3600.013435,0
4,347,scip_no_symmetry,4,-82498253624,805.939122,0
4,348,scip_no_symmetry,0,-85853042744,1580.897784,0
4,348,scip_no_symmetry,1,-85853050084,1186.307645,0
4,348,scip_no_symmetry,2,-85853231167,679.293511,0
4,348,scip_no_symmetry,3,-85853049915,1845.92013,0
4,348,scip_no_symmetry,4,-85853055588,1109.383759,0
