Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
503,2,212,cp_no_symmetry,0,1362848000,3298.120199495,facLoc_1000_500_2_3,0
504,2,212,cp_no_symmetry,1,1364633000,3334.0254433140003,facLoc_1000_500_2_3,0
505,2,213,cp_no_symmetry,0,1360426050,2154.2634832510003,facLoc_1000_500_2_5,0
506,2,212,cp_no_symmetry,4,1362809000,2648.476217451,facLoc_1000_500_2_3,0
507,2,213,cp_no_symmetry,1,1360875750,3157.149784128,facLoc_1000_500_2_5,0
508,2,212,cp_no_symmetry,3,1363401000,1421.731031476,facLoc_1000_500_2_3,0
509,2,213,cp_no_symmetry,4,1363737310,2025.896731779,facLoc_1000_500_2_5,0
510,2,213,cp_no_symmetry,2,1360298430,1817.540569118,facLoc_1000_500_2_5,0
511,2,213,cp_no_symmetry,3,1362781840,2002.659485451,facLoc_1000_500_2_5,0
512,2,216,cp_no_symmetry,0,912643630,21.220512109,facLoc_1000_50_21_5,0
513,2,216,cp_no_symmetry,3,913912970,30.165625148,facLoc_1000_50_21_5,0
514,2,216,cp_no_symmetry,2,914359330,20.887559302,facLoc_1000_50_21_5,0
515,2,216,cp_no_symmetry,4,914888170,17.076867410000002,facLoc_1000_50_21_5,0
516,2,216,cp_no_symmetry,1,914570920,11.516189625,facLoc_1000_50_21_5,0
517,2,217,cp_no_symmetry,0,894260000,3600.108719402,facLoc_1000_50_33_3,0
518,2,217,cp_no_symmetry,4,893759000,3600.279013654,facLoc_1000_50_33_3,0
519,2,217,cp_no_symmetry,1,896977000,3600.164811167,facLoc_1000_50_33_3,0
520,2,217,cp_no_symmetry,2,896461000,3600.194508205,facLoc_1000_50_33_3,0
521,2,217,cp_no_symmetry,3,896448000,3600.121324899,facLoc_1000_50_33_3,0
522,2,218,cp_no_symmetry,0,892927798,3600.219010699,facLoc_1000_50_37_8,0
523,2,218,cp_no_symmetry,1,890014055,3600.1196871800003,facLoc_1000_50_37_8,0
524,2,218,cp_no_symmetry,2,890388695,3600.4990204630003,facLoc_1000_50_37_8,0
525,2,218,cp_no_symmetry,3,892161837,3600.6105168110003,facLoc_1000_50_37_8,0
526,2,219,cp_no_symmetry,0,901200000,9.110169499,facLoc_1000_50_39_1,0
527,2,218,cp_no_symmetry,4,890826449,3600.2792490330003,facLoc_1000_50_37_8,0
528,2,219,cp_no_symmetry,2,905500000,8.626829947000001,facLoc_1000_50_39_1,0
529,2,219,cp_no_symmetry,1,905600000,9.875022196,facLoc_1000_50_39_1,0
530,2,219,cp_no_symmetry,3,904300000,8.553447088,facLoc_1000_50_39_1,0
531,2,219,cp_no_symmetry,4,904500000,11.536668839,facLoc_1000_50_39_1,0
532,2,220,cp_no_symmetry,1,188400000,0.5400703920000001,facLoc_100_100_1_1,0
533,2,220,cp_no_symmetry,0,188300000,0.38969194,facLoc_100_100_1_1,0
534,2,220,cp_no_symmetry,2,188200000,0.369460259,facLoc_100_100_1_1,0
535,2,220,cp_no_symmetry,4,187400000,0.4842105390000001,facLoc_100_100_1_1,0
536,2,220,cp_no_symmetry,3,188000000,0.40805409,facLoc_100_100_1_1,0
537,2,221,cp_no_symmetry,1,189800000,0.4799008460000001,facLoc_100_100_1_3,0
538,2,221,cp_no_symmetry,0,189206000,0.7494139080000001,facLoc_100_100_1_3,0
539,2,221,cp_no_symmetry,2,187871000,0.5605871490000001,facLoc_100_100_1_3,0
540,2,222,cp_no_symmetry,1,186345600,0.7819549330000001,facLoc_100_100_1_5,0
541,2,221,cp_no_symmetry,3,188474000,0.687487996,facLoc_100_100_1_3,0
542,2,222,cp_no_symmetry,0,187434210,0.800361728,facLoc_100_100_1_5,0
543,2,221,cp_no_symmetry,4,188997000,0.659279201,facLoc_100_100_1_3,0
544,2,222,cp_no_symmetry,2,186591100,0.93948108,facLoc_100_100_1_5,0
545,2,223,cp_no_symmetry,0,187404252,0.6548138800000001,facLoc_100_100_1_8,0
546,2,222,cp_no_symmetry,4,186123880,0.625683365,facLoc_100_100_1_5,0
547,2,222,cp_no_symmetry,3,186447250,0.7781146000000001,facLoc_100_100_1_5,0
548,2,223,cp_no_symmetry,3,187472674,0.570330188,facLoc_100_100_1_8,0
549,2,223,cp_no_symmetry,1,187778999,2.0604044750000003,facLoc_100_100_1_8,0
550,2,223,cp_no_symmetry,2,188231791,0.60333166,facLoc_100_100_1_8,0
551,2,223,cp_no_symmetry,4,187636904,1.320793835,facLoc_100_100_1_8,0
552,2,224,cp_no_symmetry,1,107800000,0.142414114,facLoc_100_20_5_1,0
553,2,224,cp_no_symmetry,2,109400000,0.16519244800000002,facLoc_100_20_5_1,0
554,2,224,cp_no_symmetry,0,108700000,0.13464346300000002,facLoc_100_20_5_1,0
555,2,225,cp_no_symmetry,0,106749880,0.16322572200000002,facLoc_100_20_5_5,0
556,2,224,cp_no_symmetry,3,109000000,0.16403145900000002,facLoc_100_20_5_1,0
557,2,225,cp_no_symmetry,1,107242540,0.12659298100000002,facLoc_100_20_5_5,0
558,2,224,cp_no_symmetry,4,108900000,0.110782633,facLoc_100_20_5_1,0
559,2,225,cp_no_symmetry,2,106746820,0.14289732600000002,facLoc_100_20_5_5,0
560,2,225,cp_no_symmetry,4,106287780,0.15096551,facLoc_100_20_5_5,0
561,2,226,cp_no_symmetry,0,102261407,351.76016779,facLoc_100_20_7_8,0
562,2,225,cp_no_symmetry,3,107373080,0.222008719,facLoc_100_20_5_5,0
563,2,226,cp_no_symmetry,3,102284215,300.026102331,facLoc_100_20_7_8,0
564,2,226,cp_no_symmetry,4,101788451,261.29301926200003,facLoc_100_20_7_8,0
565,2,226,cp_no_symmetry,1,102823357,280.60441661000004,facLoc_100_20_7_8,0
566,2,226,cp_no_symmetry,2,101891456,458.2208851520001,facLoc_100_20_7_8,0
567,2,227,cp_no_symmetry,0,100730000,0.238600086,facLoc_100_20_8_3,0
568,2,227,cp_no_symmetry,1,100176000,0.346140746,facLoc_100_20_8_3,0
569,2,227,cp_no_symmetry,2,100636000,0.8595923900000001,facLoc_100_20_8_3,0
570,2,228,cp_no_symmetry,1,187600000,1.62787729,facLoc_100_250_1_1,0
571,2,227,cp_no_symmetry,4,99894000,0.44561781800000005,facLoc_100_20_8_3,0
572,2,228,cp_no_symmetry,0,188200000,1.343039159,facLoc_100_250_1_1,0
573,2,227,cp_no_symmetry,3,100301000,0.24247233,facLoc_100_20_8_3,0
574,2,228,cp_no_symmetry,2,186700000,2.077415616,facLoc_100_250_1_1,0
575,2,228,cp_no_symmetry,4,187300000,1.794853612,facLoc_100_250_1_1,0
576,2,228,cp_no_symmetry,3,187900000,1.252166375,facLoc_100_250_1_1,0
577,2,229,cp_no_symmetry,0,187866000,2.292541899,facLoc_100_250_1_3,0
578,2,229,cp_no_symmetry,2,188507000,2.197248964,facLoc_100_250_1_3,0
579,2,229,cp_no_symmetry,1,187438000,2.089861941,facLoc_100_250_1_3,0
580,2,229,cp_no_symmetry,3,187780000,2.1325112290000003,facLoc_100_250_1_3,0
581,2,229,cp_no_symmetry,4,187011000,2.003057662,facLoc_100_250_1_3,0
582,2,230,cp_no_symmetry,3,187467930,3.744156368,facLoc_100_250_1_5,0
583,2,230,cp_no_symmetry,0,187046010,4.374580538,facLoc_100_250_1_5,0
584,2,230,cp_no_symmetry,2,187022800,2.669430652,facLoc_100_250_1_5,0
585,2,230,cp_no_symmetry,1,186762570,3.4315761050000004,facLoc_100_250_1_5,0
586,2,230,cp_no_symmetry,4,187379180,4.244129297000001,facLoc_100_250_1_5,0
587,2,231,cp_no_symmetry,1,187225484,1.96028527,facLoc_100_250_1_8,0
588,2,231,cp_no_symmetry,0,187730590,4.1366322,facLoc_100_250_1_8,0
589,2,231,cp_no_symmetry,3,188126846,4.022586492,facLoc_100_250_1_8,0
590,2,232,cp_no_symmetry,0,189000000,4.38442775,facLoc_100_500_1_1,0
591,2,231,cp_no_symmetry,4,187345444,2.069686664,facLoc_100_250_1_8,0
592,2,231,cp_no_symmetry,2,186271388,1.825388877,facLoc_100_250_1_8,0
