Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
1331,4,200,cp_no_symmetry,0,922796170,32.891188651,facLoc_1000_100_10_5,0
1333,4,200,cp_no_symmetry,2,922354730,36.114889531,facLoc_1000_100_10_5,0
1334,4,200,cp_no_symmetry,1,922575490,41.496588927000005,facLoc_1000_100_10_5,0
1335,4,200,cp_no_symmetry,4,923102770,53.871480466,facLoc_1000_100_10_5,0
1336,4,200,cp_no_symmetry,3,922796170,49.22174231,facLoc_1000_100_10_5,0
1337,4,201,cp_no_symmetry,0,885230000,3600.284916252,facLoc_1000_100_16_3,0
1338,4,201,cp_no_symmetry,1,885139000,3600.415615761,facLoc_1000_100_16_3,0
1339,4,201,cp_no_symmetry,2,884907000,3603.367519108,facLoc_1000_100_16_3,0
1340,4,201,cp_no_symmetry,3,885354000,3600.494956849,facLoc_1000_100_16_3,0
1341,4,201,cp_no_symmetry,4,884853000,3600.4327123010003,facLoc_1000_100_16_3,0
1342,4,202,cp_no_symmetry,0,886233813,3600.6854793830003,facLoc_1000_100_16_8,0
1343,4,202,cp_no_symmetry,1,885733638,3600.5004731900003,facLoc_1000_100_16_8,0
1344,4,202,cp_no_symmetry,2,885294787,3600.351456615,facLoc_1000_100_16_8,0
1345,4,202,cp_no_symmetry,3,885480116,3600.7691588390003,facLoc_1000_100_16_8,0
1346,4,202,cp_no_symmetry,4,887248271,3600.32303515,facLoc_1000_100_16_8,0
1347,4,203,cp_no_symmetry,1,861900000,3621.392373884,facLoc_1000_100_19_1,0
1348,4,203,cp_no_symmetry,0,861900000,3600.572251716,facLoc_1000_100_19_1,0
1349,4,203,cp_no_symmetry,3,861900000,3600.859640691,facLoc_1000_100_19_1,0
1350,4,203,cp_no_symmetry,2,861900000,3601.025632956,facLoc_1000_100_19_1,0
1351,4,203,cp_no_symmetry,4,861900000,3600.960618198,facLoc_1000_100_19_1,0
1352,4,204,cp_no_symmetry,0,837889083,3600.135214378,facLoc_1000_20_76_8,0
1353,4,204,cp_no_symmetry,2,837416739,3600.3141575950003,facLoc_1000_20_76_8,0
1354,4,204,cp_no_symmetry,1,837604385,3600.33594326,facLoc_1000_20_76_8,0
1355,4,204,cp_no_symmetry,3,839389352,3600.875214726,facLoc_1000_20_76_8,0
1356,4,204,cp_no_symmetry,4,838732196,3600.1804358930003,facLoc_1000_20_76_8,0
1357,4,205,cp_no_symmetry,0,835483000,342.802724716,facLoc_1000_20_79_3,0
1358,4,205,cp_no_symmetry,1,835515000,2723.096152614,facLoc_1000_20_79_3,0
1359,4,205,cp_no_symmetry,2,835919000,177.370931567,facLoc_1000_20_79_3,0
1360,4,205,cp_no_symmetry,3,836132000,385.969689059,facLoc_1000_20_79_3,0
1361,4,205,cp_no_symmetry,4,836016000,364.363240969,facLoc_1000_20_79_3,0
1362,4,206,cp_no_symmetry,0,836684960,3600.070344435,facLoc_1000_20_81_5,0
1363,4,206,cp_no_symmetry,1,836769600,3600.044384624,facLoc_1000_20_81_5,0
1364,4,206,cp_no_symmetry,2,836649300,3600.0661711410003,facLoc_1000_20_81_5,0
1365,4,206,cp_no_symmetry,3,837147020,3600.043131454,facLoc_1000_20_81_5,0
1366,4,206,cp_no_symmetry,4,836763470,3600.0985734200003,facLoc_1000_20_81_5,0
1367,4,207,cp_no_symmetry,0,818700000,3600.1565232320004,facLoc_1000_20_90_1,0
1368,4,207,cp_no_symmetry,1,818700000,3600.140543799,facLoc_1000_20_90_1,0
1369,4,207,cp_no_symmetry,2,818700000,3600.059405543,facLoc_1000_20_90_1,0
1370,4,207,cp_no_symmetry,3,818700000,3600.1467883490004,facLoc_1000_20_90_1,0
1371,4,207,cp_no_symmetry,4,818700000,3600.122323376,facLoc_1000_20_90_1,0
1372,4,208,cp_no_symmetry,1,1074870850,99.479948022,facLoc_1000_250_4_5,0
1373,4,208,cp_no_symmetry,0,1071885140,133.188445978,facLoc_1000_250_4_5,0
1374,4,208,cp_no_symmetry,3,1071509970,133.18495346900002,facLoc_1000_250_4_5,0
1375,4,208,cp_no_symmetry,2,1073359430,308.245947667,facLoc_1000_250_4_5,0
1376,4,208,cp_no_symmetry,4,1074671930,169.919832395,facLoc_1000_250_4_5,0
1377,4,209,cp_no_symmetry,0,1024205000,148.204374886,facLoc_1000_250_5_3,0
1378,4,209,cp_no_symmetry,2,1024389000,123.702304118,facLoc_1000_250_5_3,0
1379,4,209,cp_no_symmetry,1,1023383000,568.779405758,facLoc_1000_250_5_3,0
1380,4,209,cp_no_symmetry,3,1023181000,571.4416877120001,facLoc_1000_250_5_3,0
1381,4,209,cp_no_symmetry,4,1022883000,408.362594433,facLoc_1000_250_5_3,0
1382,4,210,cp_no_symmetry,1,1025601069,79.799168941,facLoc_1000_250_5_8,0
1383,4,210,cp_no_symmetry,0,1024099669,96.353374762,facLoc_1000_250_5_8,0
1384,4,210,cp_no_symmetry,2,1023753667,116.201762312,facLoc_1000_250_5_8,0
1385,4,210,cp_no_symmetry,4,1023884293,2235.752535527,facLoc_1000_250_5_8,0
1386,4,210,cp_no_symmetry,3,1023962630,206.009275655,facLoc_1000_250_5_8,0
1387,4,211,cp_no_symmetry,0,975200000,3602.332243321,facLoc_1000_250_6_1,0
1388,4,211,cp_no_symmetry,1,975200000,3602.0331741910004,facLoc_1000_250_6_1,0
1389,4,211,cp_no_symmetry,2,975200000,3600.853858064,facLoc_1000_250_6_1,0
1390,4,211,cp_no_symmetry,3,975200000,3615.020800235,facLoc_1000_250_6_1,0
1391,4,211,cp_no_symmetry,4,975200000,3601.7493217670003,facLoc_1000_250_6_1,0
1392,4,212,cp_no_symmetry,0,1325321000,385.032896466,facLoc_1000_500_2_3,0
1393,4,212,cp_no_symmetry,2,1325405000,489.3521857340001,facLoc_1000_500_2_3,0
1394,4,212,cp_no_symmetry,1,1324778000,537.416560503,facLoc_1000_500_2_3,0
1395,4,212,cp_no_symmetry,3,1324297000,415.502032625,facLoc_1000_500_2_3,0
1396,4,212,cp_no_symmetry,4,1322896000,1438.3254148360002,facLoc_1000_500_2_3,0
1397,4,213,cp_no_symmetry,0,1323837060,703.143016719,facLoc_1000_500_2_5,0
