Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,0,200,cp_no_symmetry,0,909363660,16.184504469,facLoc_1000_100_10_5,0
1,0,200,cp_no_symmetry,2,909363660,20.466372302,facLoc_1000_100_10_5,0
2,0,201,cp_no_symmetry,1,872128000,3600.814852326,facLoc_1000_100_16_3,0
3,0,200,cp_no_symmetry,3,909363660,20.326542331,facLoc_1000_100_10_5,0
4,0,200,cp_no_symmetry,1,909363660,18.74935374,facLoc_1000_100_10_5,0
5,0,200,cp_no_symmetry,4,909363660,18.185776039,facLoc_1000_100_10_5,0
6,0,201,cp_no_symmetry,0,872119000,3601.2297942480004,facLoc_1000_100_16_3,0
7,0,201,cp_no_symmetry,4,872121000,3600.772218942,facLoc_1000_100_16_3,0
8,0,202,cp_no_symmetry,0,872421117,3600.5927446650003,facLoc_1000_100_16_8,0
9,0,201,cp_no_symmetry,2,872122000,3601.086186812,facLoc_1000_100_16_3,0
10,0,201,cp_no_symmetry,3,872121000,3601.3429269880003,facLoc_1000_100_16_3,0
11,0,202,cp_no_symmetry,1,872422379,3600.988305398,facLoc_1000_100_16_8,0
12,0,202,cp_no_symmetry,2,872420391,3600.690038511,facLoc_1000_100_16_8,0
13,0,202,cp_no_symmetry,3,872420960,3600.4811765520003,facLoc_1000_100_16_8,0
14,0,205,cp_no_symmetry,1,823685000,2050.412879952,facLoc_1000_20_79_3,0
15,0,203,cp_no_symmetry,1,861900000,3600.4023195860004,facLoc_1000_100_19_1,0
16,0,204,cp_no_symmetry,2,826111840,3600.119727649,facLoc_1000_20_76_8,0
17,0,205,cp_no_symmetry,3,823685000,3600.0482804900003,facLoc_1000_20_79_3,0
18,0,203,cp_no_symmetry,0,861900000,3600.5406161950004,facLoc_1000_100_19_1,0
19,0,203,cp_no_symmetry,4,861900000,3600.393294974,facLoc_1000_100_19_1,0
20,0,204,cp_no_symmetry,3,826111840,3600.1404740700004,facLoc_1000_20_76_8,0
21,0,205,cp_no_symmetry,2,823685000,1950.405680211,facLoc_1000_20_79_3,0
22,0,204,cp_no_symmetry,0,826111840,3600.292240084,facLoc_1000_20_76_8,0
