Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
885,3,200,cp_no_symmetry,0,944492530,40.204023207000006,facLoc_1000_100_10_5,0
888,3,200,cp_no_symmetry,3,944359780,81.22208616600001,facLoc_1000_100_10_5,0
889,3,200,cp_no_symmetry,2,944707070,84.115544392,facLoc_1000_100_10_5,0
890,3,200,cp_no_symmetry,1,943808170,90.026256278,facLoc_1000_100_10_5,0
891,3,201,cp_no_symmetry,0,904934000,3600.4114756490003,facLoc_1000_100_16_3,0
892,3,201,cp_no_symmetry,1,905428000,3601.2842483390004,facLoc_1000_100_16_3,0
893,3,200,cp_no_symmetry,4,944366150,29.450387627,facLoc_1000_100_10_5,0
894,3,201,cp_no_symmetry,3,905679000,3600.79106842,facLoc_1000_100_16_3,0
895,3,201,cp_no_symmetry,2,904966000,3600.64132801,facLoc_1000_100_16_3,0
896,3,201,cp_no_symmetry,4,904732000,3600.8136824740004,facLoc_1000_100_16_3,0
897,3,202,cp_no_symmetry,0,908956110,3600.8232098880003,facLoc_1000_100_16_8,0
898,3,202,cp_no_symmetry,2,905778777,3600.5573191800004,facLoc_1000_100_16_8,0
899,3,202,cp_no_symmetry,1,906111246,3600.493898129,facLoc_1000_100_16_8,0
900,3,202,cp_no_symmetry,3,907642599,3600.7733900790004,facLoc_1000_100_16_8,0
901,3,202,cp_no_symmetry,4,907441612,3600.494004598,facLoc_1000_100_16_8,0
902,3,203,cp_no_symmetry,0,917100000,3600.4233991610004,facLoc_1000_100_19_1,0
903,3,203,cp_no_symmetry,2,918300000,3600.9796602670003,facLoc_1000_100_19_1,0
904,3,203,cp_no_symmetry,1,918800000,3601.02797829,facLoc_1000_100_19_1,0
905,3,203,cp_no_symmetry,3,918400000,3600.321762114,facLoc_1000_100_19_1,0
906,3,203,cp_no_symmetry,4,918900000,3600.303755442,facLoc_1000_100_19_1,0
907,3,204,cp_no_symmetry,0,859335902,2283.360418951,facLoc_1000_20_76_8,0
908,3,204,cp_no_symmetry,1,864768655,3600.118730529,facLoc_1000_20_76_8,0
909,3,204,cp_no_symmetry,2,862713652,3600.275644868,facLoc_1000_20_76_8,0
910,3,204,cp_no_symmetry,3,858759048,2719.861916113,facLoc_1000_20_76_8,0
911,3,204,cp_no_symmetry,4,860882149,3600.1612885130003,facLoc_1000_20_76_8,0
912,3,205,cp_no_symmetry,0,859267000,173.669707307,facLoc_1000_20_79_3,0
913,3,205,cp_no_symmetry,2,857477000,377.651147185,facLoc_1000_20_79_3,0
914,3,205,cp_no_symmetry,1,858790000,175.68921679500002,facLoc_1000_20_79_3,0
915,3,205,cp_no_symmetry,3,856097000,214.202060556,facLoc_1000_20_79_3,0
916,3,205,cp_no_symmetry,4,858844000,208.59643295100005,facLoc_1000_20_79_3,0
917,3,206,cp_no_symmetry,2,860418380,463.341407491,facLoc_1000_20_81_5,0
918,3,206,cp_no_symmetry,0,859187780,1717.082986286,facLoc_1000_20_81_5,0
919,3,206,cp_no_symmetry,1,858133860,3600.4160846960003,facLoc_1000_20_81_5,0
