Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
851,2,0,scip_no_symmetry,0,-1237143,295.767976,ab51-40-100,0
850,2,0,scip_no_symmetry,1,-1236040,108.157312,ab51-40-100,0
852,2,0,scip_no_symmetry,2,-1236708,99.311666,ab51-40-100,0
853,2,0,scip_no_symmetry,3,-1238747,92.057386,ab51-40-100,0
855,2,0,scip_no_symmetry,4,-1237146,340.944241,ab51-40-100,0
854,2,1,scip_no_symmetry,0,-1126143,67.610766,ab67-40-100,0
856,2,1,scip_no_symmetry,1,-1126669,83.940487,ab67-40-100,0
857,2,1,scip_no_symmetry,2,-1125898,68.963796,ab67-40-100,0
859,2,1,scip_no_symmetry,3,-1126140,76.22072,ab67-40-100,0
860,2,1,scip_no_symmetry,4,-1125798,69.760731,ab67-40-100,0
858,2,2,scip_no_symmetry,0,-1137414,120.591367,ab69-40-100,0
863,2,2,scip_no_symmetry,1,-1138464,87.436989,ab69-40-100,0
861,2,2,scip_no_symmetry,2,-1137173,101.294639,ab69-40-100,0
862,2,2,scip_no_symmetry,3,-1151244,87.516019,ab69-40-100,0
865,2,2,scip_no_symmetry,4,-1138155,128.067733,ab69-40-100,0
866,2,3,scip_no_symmetry,0,-1881004,26.546678,ab71-20-100,0
867,2,3,scip_no_symmetry,1,-1872057,26.530015,ab71-20-100,0
864,2,3,scip_no_symmetry,2,-1872992,23.205225,ab71-20-100,0
868,2,3,scip_no_symmetry,3,-1881733,24.631236,ab71-20-100,0
869,2,3,scip_no_symmetry,4,-1871443,26.131446,ab71-20-100,0
870,2,4,scip_no_symmetry,0,-1137155,64.772493,ab72-40-100,0
871,2,4,scip_no_symmetry,1,-1139792,97.762308,ab72-40-100,0
873,2,4,scip_no_symmetry,2,-1137718,56.688874,ab72-40-100,0
872,2,4,scip_no_symmetry,3,-1134459,66.620256,ab72-40-100,0
876,2,4,scip_no_symmetry,4,-1138621,69.554044,ab72-40-100,0
875,2,5,scip_no_symmetry,0,75550,0.389977,app2-1,0
874,2,5,scip_no_symmetry,1,75550,0.34424499999999997,app2-1,0
880,2,5,scip_no_symmetry,2,75550,0.33901699999999996,app2-1,0
878,2,5,scip_no_symmetry,3,75550,0.34527599999999997,app2-1,0
877,2,5,scip_no_symmetry,4,75550,0.356039,app2-1,0
879,2,6,scip_no_symmetry,0,613134,0.099292,app2-2,0
881,2,6,scip_no_symmetry,1,613134,0.061967999999999995,app2-2,0
883,2,6,scip_no_symmetry,2,613134,0.062014999999999994,app2-2,0
882,2,6,scip_no_symmetry,3,613134,0.060702,app2-2,0
887,2,6,scip_no_symmetry,4,613218,0.143722,app2-2,0
886,2,7,scip_no_symmetry,0,-3744833,3600.001133,bab1,0
884,2,7,scip_no_symmetry,1,-3760777,3600.002968,bab1,0
885,2,7,scip_no_symmetry,2,-3749003,3600.00095,bab1,0
888,2,7,scip_no_symmetry,3,-3737342,3600.000656,bab1,0
889,2,7,scip_no_symmetry,4,-3730607,3600.000771,bab1,0
890,2,8,scip_no_symmetry,0,-4829283,3600.019655,bab2,0
892,2,8,scip_no_symmetry,1,-83324291,3600.020378,bab2,0
891,2,8,scip_no_symmetry,2,-76740299,3600.008369,bab2,0
893,2,8,scip_no_symmetry,3,-4812928,3600.020306,bab2,0
896,2,8,scip_no_symmetry,4,-83116769,3600.01012,bab2,0
895,2,9,scip_no_symmetry,0,-83324083,3600.019176,bab3,0
894,2,9,scip_no_symmetry,1,-83324083,3600.017032,bab3,0
899,2,9,scip_no_symmetry,2,-83324083,3600.015329,bab3,0
898,2,9,scip_no_symmetry,3,-83324083,3600.444959,bab3,0
897,2,9,scip_no_symmetry,4,-83324083,3601.019845,bab3,0
900,2,10,scip_no_symmetry,0,-11694705,1903.45085,bab5,0
902,2,10,scip_no_symmetry,1,-11772718,1681.759057,bab5,0
903,2,10,scip_no_symmetry,2,-11716379,349.557376,bab5,0
901,2,10,scip_no_symmetry,3,-11819402,3600.001311,bab5,0
