bit_num,problem,mode,seed,Objective value,Solving time,num_generators
3,0,scip_no_symmetry,0,-1284548,27.681097,0
3,0,scip_no_symmetry,1,-1280756,28.498632,0
3,0,scip_no_symmetry,2,-1280761,24.253816,0
3,0,scip_no_symmetry,3,-1283852,27.512568,0
3,0,scip_no_symmetry,4,-1284337,25.98919,0
3,1,scip_no_symmetry,0,-1129885,102.271198,0
3,1,scip_no_symmetry,1,-1129885,114.634912,0
3,1,scip_no_symmetry,2,-1120335,389.12701,0
3,1,scip_no_symmetry,3,-1124656,466.049142,0
3,1,scip_no_symmetry,4,-1125322,128.012458,0
3,2,scip_no_symmetry,0,-1125018,123.911786,0
3,2,scip_no_symmetry,1,-1129642,203.562778,0
3,2,scip_no_symmetry,2,-1134941,220.815279,0
3,2,scip_no_symmetry,3,-1130317,121.927745,0
3,2,scip_no_symmetry,4,-1129642,165.064315,0
3,3,scip_no_symmetry,0,-1918129,33.209046,0
3,3,scip_no_symmetry,1,-1918229,46.348786,0
3,3,scip_no_symmetry,2,-1918553,41.501187,0
3,3,scip_no_symmetry,3,-1918230,26.175696,0
3,3,scip_no_symmetry,4,-1907356,41.617143,0
3,4,scip_no_symmetry,0,-1162281,131.201931,0
3,4,scip_no_symmetry,1,-1156809,140.196769,0
3,4,scip_no_symmetry,2,-1155640,112.609142,0
3,4,scip_no_symmetry,3,-1158726,122.349716,0
3,4,scip_no_symmetry,4,-1153841,121.343314,0
3,5,scip_no_symmetry,0,75547,1.058331,0
3,5,scip_no_symmetry,1,75547,0.8319449999999999,0
3,5,scip_no_symmetry,2,75547,0.759335,0
3,5,scip_no_symmetry,3,75547,0.728424,0
3,5,scip_no_symmetry,4,75547,1.1922,0
3,6,scip_no_symmetry,0,613331,0.15799,0
3,6,scip_no_symmetry,1,613385,0.181038,0
3,6,scip_no_symmetry,2,613385,0.157585,0
3,6,scip_no_symmetry,3,613385,0.166925,0
3,6,scip_no_symmetry,4,613331,0.546964,0
3,7,scip_no_symmetry,0,-3865489,3600.000715,0
3,7,scip_no_symmetry,1,-3856234,3600.002174,0
3,7,scip_no_symmetry,2,-3859425,3600.005381,0
3,7,scip_no_symmetry,3,-3864275,3600.000401,0
3,7,scip_no_symmetry,4,-3858463,3600.001167,0
3,8,scip_no_symmetry,0,-83270396,3600.008072,0
3,8,scip_no_symmetry,1,-4935026,3600.016294,0
3,8,scip_no_symmetry,2,-81865655,3600.037883,0
3,8,scip_no_symmetry,3,-4945983,3600.018443,0
3,8,scip_no_symmetry,4,-82549624,3600.008107,0
3,9,scip_no_symmetry,0,-83324083,3600.239839,0
3,9,scip_no_symmetry,1,-83324083,3600.016129,0
3,9,scip_no_symmetry,2,-83324083,3600.212314,0
3,9,scip_no_symmetry,3,-83324083,3600.862391,0
3,9,scip_no_symmetry,4,-83324083,3600.247426,0
3,10,scip_no_symmetry,0,-12250063,3600.001155,0
3,10,scip_no_symmetry,1,-12253861,968.636602,0
3,10,scip_no_symmetry,2,-12262171,3600.001224,0
3,10,scip_no_symmetry,3,-12231452,3600.002872,0
3,10,scip_no_symmetry,4,-12245028,3600.001104,0
3,11,scip_no_symmetry,0,-88500710,3600.010423,0
3,11,scip_no_symmetry,1,-5964294,3600.005698,0
3,11,scip_no_symmetry,2,-6137317,3600.014032,0
3,11,scip_no_symmetry,3,-89997719,3600.009685,0
3,11,scip_no_symmetry,4,-93584966,3600.003175,0
3,12,scip_no_symmetry,0,1474805,3339.129734,0
3,12,scip_no_symmetry,1,1474902,2809.178204,0
3,12,scip_no_symmetry,2,1474829,3600.001173,0
3,12,scip_no_symmetry,3,1474882,3003.227646,0
3,12,scip_no_symmetry,4,1475106,2868.822626,0
3,13,scip_no_symmetry,0,3313365,3600.008249,0
