bit_num,problem,mode,seed,Objective value,Solving time,num_generators
4,200,scip,0,925222590,12.310729,137
4,200,scip,1,923714570,13.645851,137
4,200,scip,2,924419760,12.277977,137
4,200,scip,3,923539940,13.473472,137
4,200,scip,4,924501580,13.602467,137
4,201,scip,0,886089000,3600.105695,148
4,201,scip,1,886144000,3600.00249,148
4,201,scip,2,885766000,3600.003074,148
4,201,scip,3,884860000,3600.0024,148
4,201,scip,4,885640000,3600.003464,148
4,202,scip,0,886765496,3600.002054,160
4,202,scip,1,887332132,3600.00199,160
4,202,scip,2,886454286,3600.002344,160
4,202,scip,3,887868560,3600.002274,160
4,202,scip,4,886949790,3600.002135,160
4,203,scip,0,861900000,3600.10136,192
4,203,scip,1,861900000,3600.002267,192
4,203,scip,2,861900000,3600.002174,192
4,203,scip,3,861900000,3600.001378,192
4,203,scip,4,861900000,3600.00223,192
4,204,scip,0,839599928,3600.000689,626
4,204,scip,1,838250562,3600.000645,626
4,204,scip,2,839472737,3600.000753,626
4,204,scip,3,839532176,3600.001198,626
4,204,scip,4,837470919,3600.002107,626
4,205,scip,0,835683000,3308.669877,616
4,205,scip,1,835186000,3600.003062,616
4,205,scip,2,836545000,2186.49327,616
4,205,scip,3,835491000,2134.147802,616
4,205,scip,4,836776000,1847.090196,616
4,206,scip,0,837761470,3600.001773,623
4,206,scip,1,836113680,3600.00064,623
4,206,scip,2,837962930,3600.001646,623
4,206,scip,3,836669950,3600.000662,623
4,206,scip,4,837334440,3600.002959,623
4,207,scip,0,818700000,3600.001041,725
4,207,scip,1,818700000,3600.000697,725
4,207,scip,2,818700000,3600.001051,725
4,207,scip,3,818700000,3600.000839,725
4,207,scip,4,818700000,3600.000542,725
4,208,scip,0,1073767140,46.887829,81
4,208,scip,1,1073368850,48.011187,81
4,208,scip,2,1074149230,52.043795,81
4,208,scip,3,1074367230,43.501845,81
4,208,scip,4,1073622290,47.731392,81
4,209,scip,0,1024162000,79.587987,70
4,209,scip,1,1023275000,52.538933,70
4,209,scip,2,1023088000,64.366907,70
4,209,scip,3,1023252000,79.081968,70
4,209,scip,4,1023005000,101.548898,70
4,210,scip,0,1027233910,45.344279,82
4,210,scip,1,1024535111,237.052084,82
4,210,scip,2,1025463363,52.888526,82
4,210,scip,3,1026007359,59.982356,82
4,210,scip,4,1026269584,64.43476,82
4,211,scip,0,975200000,3600.022366,112
4,211,scip,1,975200000,3600.003204,112
4,211,scip,2,975200000,3600.002715,112
4,211,scip,3,975200000,3600.046158,112
4,211,scip,4,975200000,3600.057275,112
4,212,scip,0,1324945000,370.415203,82
4,212,scip,1,1325301000,221.052295,82
4,212,scip,2,1324435000,329.56988,82
4,212,scip,3,1324594000,261.022403,82
4,212,scip,4,1324731000,240.769218,82
4,213,scip,0,1323140880,456.500243,64
4,213,scip,1,1324006920,446.015579,64
4,213,scip,2,1323894100,405.337622,64
4,213,scip,3,1323786840,488.635402,64
4,213,scip,4,1323404420,476.14829,64
4,214,scip,0,1140000000,3600.164165,64
4,214,scip,1,1140000000,3600.038429,64
4,214,scip,2,1140000000,3600.037963,64
4,214,scip,3,1140000000,3600.083314,64
4,214,scip,4,1140000000,3600.088159,64
4,215,scip,0,1161551895,3600.017959,65
4,215,scip,1,1160151131,3600.115688,65
4,215,scip,2,1157934585,3600.009198,65
4,215,scip,3,1158262233,3600.176349,65
4,215,scip,4,1160604205,3600.073218,65
4,216,scip,0,875161610,3600.00736,303
4,216,scip,1,875240390,3600.001736,303
4,216,scip,2,875836900,694.075887,303
4,216,scip,3,874820780,3600.000722,303
4,216,scip,4,874420910,543.531689,303
4,217,scip,0,854777000,3600.002108,292
4,217,scip,1,856745000,3600.001863,292
4,217,scip,2,855422000,3600.002039,292
4,217,scip,3,855631000,3600.001862,292
4,217,scip,4,854783000,3600.001818,292
4,218,scip,0,852304998,3600.001705,291
4,218,scip,1,852461102,3600.008828,291
4,218,scip,2,851136711,3600.001554,291
4,218,scip,3,852361724,3600.001861,291
4,218,scip,4,852224166,3600.001806,291
4,219,scip,0,834200000,3600.001375,381
4,219,scip,1,834200000,3600.001366,381
4,219,scip,2,834200000,3600.001327,381
4,219,scip,3,834200000,3600.00176,381
4,219,scip,4,834200000,3600.001588,381
4,220,scip,0,180900000,1.413876,14
4,220,scip,1,180900000,0.6692239999999999,14
4,220,scip,2,180900000,0.428587,14
4,220,scip,3,180900000,0.381126,14
4,220,scip,4,180900000,0.797511,14
4,221,scip,0,183983000,0.962093,9
4,221,scip,1,183928000,0.783171,9
4,221,scip,2,183973000,0.7740079999999999,9
4,221,scip,3,183777000,0.861355,9
4,221,scip,4,183930000,0.725572,9
4,222,scip,0,183060260,0.37885,9
4,222,scip,1,182852380,1.016232,9
4,222,scip,2,182857770,0.371823,9
4,222,scip,3,182715610,0.921004,9
4,222,scip,4,182746410,0.920278,9
4,223,scip,0,183479367,0.32462599999999997,10
4,223,scip,1,183533275,0.30676,10
4,223,scip,2,183135425,0.331379,10
4,223,scip,3,183273491,0.398356,10
4,223,scip,4,183335212,0.288296,10
4,224,scip,0,102200000,0.059618,38
4,224,scip,1,102200000,0.061083,38
4,224,scip,2,102200000,0.060562,38
4,224,scip,3,102200000,0.063112,38
4,224,scip,4,102200000,0.074362,38
4,225,scip,0,102909620,0.061574,26
4,225,scip,1,102662410,0.06455999999999999,26
4,225,scip,2,102960780,0.062348999999999995,26
4,225,scip,3,102895150,0.065945,26
4,225,scip,4,102745330,0.064817,26
4,226,scip,0,97945832,33.624622,27
4,226,scip,1,98205879,37.069389,27
4,226,scip,2,97975024,31.907538,27
4,226,scip,3,98063409,32.688423,27
4,226,scip,4,98105822,29.498411,27
4,227,scip,0,96464000,142.277681,32
4,227,scip,1,96121000,356.328862,32
4,227,scip,2,96296000,397.091649,32
4,227,scip,3,96422000,185.64593,32
4,227,scip,4,96408000,145.615557,32
4,228,scip,0,180800000,3.22354,84
4,228,scip,1,180800000,1.673159,84
4,228,scip,2,180800000,1.607694,84
4,228,scip,3,180800000,1.938085,84
4,228,scip,4,180800000,3.281412,84
4,229,scip,0,184286000,2.836202,56
4,229,scip,1,184286000,2.804925,56
4,229,scip,2,184286000,2.383331,56
4,229,scip,3,184286000,3.073199,56
4,229,scip,4,184286000,2.656123,56
4,230,scip,0,183585000,1.249521,55
4,230,scip,1,183807580,2.6046009999999997,55
4,230,scip,2,183604930,1.28007,55
4,230,scip,3,183568550,1.239571,55
4,230,scip,4,183807580,2.495256,55
4,231,scip,0,183786681,4.715904,55
4,231,scip,1,183786845,4.773083,55
4,231,scip,2,183786681,4.027268,55
4,231,scip,3,183771368,2.605876,55
4,231,scip,4,183774587,5.344319,55
4,232,scip,0,181100000,11.20784,296
4,232,scip,1,181100000,10.879796,296
4,232,scip,2,181100000,11.005475,296
4,232,scip,3,181100000,6.803316,296
4,232,scip,4,181100000,10.970643,296
4,233,scip,0,183720000,9.505587,235
4,233,scip,1,183720000,9.588165,235
4,233,scip,2,183720000,5.6301369999999995,235
4,233,scip,3,183720000,5.052526,235
4,233,scip,4,183720000,9.086361,235
4,234,scip,0,183608140,60.15292,232
4,234,scip,1,183699510,42.962515,232
4,234,scip,2,183523510,64.311817,232
4,234,scip,3,183556970,34.466363,232
4,234,scip,4,183566240,39.946605,232
4,235,scip,0,184355663,5.985898,252
4,235,scip,1,184238875,10.705607,252
4,235,scip,2,184238875,9.946069,252
4,235,scip,3,184238875,10.172261,252
4,235,scip,4,184238875,10.369352,252
4,236,scip,0,131900000,0.188942,22
4,236,scip,1,131900000,0.177716,22
4,236,scip,2,131900000,0.180166,22
4,236,scip,3,131900000,0.16738899999999998,22
4,236,scip,4,131900000,0.181491,22
4,237,scip,0,132961000,0.208705,11
4,237,scip,1,133146000,0.170678,11
4,237,scip,2,133178000,0.181772,11
4,237,scip,3,133062000,0.171199,11
4,237,scip,4,133410000,0.188428,11
4,238,scip,0,117446060,3600.006087,13
4,238,scip,1,117278990,3600.001108,13
4,238,scip,2,117287810,3600.007335,13
4,238,scip,3,117528820,3600.019448,13
4,238,scip,4,117249090,3600.001425,13
4,239,scip,0,117186441,3600.001534,10
4,239,scip,1,117142549,3600.005737,10
4,239,scip,2,117039477,3600.006915,10
4,239,scip,3,117136014,3600.005875,10
4,239,scip,4,117065253,3600.002363,10
4,240,scip,0,1313078000,57.151125,272
4,240,scip,1,1313841000,48.131656,272
4,240,scip,2,1312338000,79.792296,272
4,240,scip,3,1313405000,62.363803,272
4,240,scip,4,1312058000,40.119207,272
4,241,scip,0,1312627810,29.033142,267
4,241,scip,1,1311832160,63.669285,267
4,241,scip,2,1310761360,32.644195,267
4,241,scip,3,1311305620,36.097158,267
4,241,scip,4,1311238500,91.910689,267
4,242,scip,0,1299928155,3600.00579,285
4,242,scip,1,1299550465,3600.0129,285
4,242,scip,2,1299287750,3600.002989,285
4,242,scip,3,1299626561,3600.608111,285
4,242,scip,4,1297928435,3600.00691,285
4,243,scip,0,1269200000,3600.006794,353
4,243,scip,1,1269200000,3600.005723,353
4,243,scip,2,1269200000,3600.002183,353
4,243,scip,3,1269200000,3600.00192,353
4,243,scip,4,1269200000,3600.003439,353
4,244,scip,0,1252690433,205.155193,1065
4,244,scip,1,1253629424,129.432268,1065
4,244,scip,2,1251646773,168.261239,1065
4,244,scip,3,1253055722,181.414148,1065
4,244,scip,4,1253805921,121.893108,1065
4,245,scip,0,1249871000,45.950202,1068
4,245,scip,1,1248638000,45.377939,1068
4,245,scip,2,1248492000,76.585559,1068
4,245,scip,3,1249942000,66.493659,1068
4,245,scip,4,1249299000,51.850984,1068
4,246,scip,0,1224100000,3600.001212,1201
4,246,scip,1,1224100000,3600.000999,1201
4,246,scip,2,1224100000,3600.000601,1201
4,246,scip,3,1224100000,3600.001198,1201
4,246,scip,4,1224100000,3600.000987,1201
4,247,scip,0,1254670320,92.788351,1072
4,247,scip,1,1254722610,36.429826,1072
4,247,scip,2,1255543660,45.657123,1072
4,247,scip,3,1253583780,47.290971,1072
4,247,scip,4,1254198160,90.758064,1072
4,248,scip,0,1363700000,649.777285,170
4,248,scip,1,1363700000,813.774367,170
4,248,scip,2,1363700000,354.927715,170
4,248,scip,3,1363700000,719.00389,170
4,248,scip,4,1363700000,766.060177,170
4,249,scip,0,1375340000,3600.101252,150
4,249,scip,1,1374472000,3600.009363,150
4,249,scip,2,1376381000,3600.013458,150
4,249,scip,3,1375970000,3600.072359,150
4,249,scip,4,1375482000,3600.110321,150
4,250,scip,0,1487877851,110.99084,160
4,250,scip,1,1490795487,93.174642,160
4,250,scip,2,1488858205,125.823767,160
4,250,scip,3,1489122746,93.781775,160
4,250,scip,4,1489550339,139.43707,160
4,251,scip,0,1406767490,3600.181582,139
4,251,scip,1,1404254110,3600.325975,139
4,251,scip,2,1405523780,3600.027363,139
4,251,scip,3,1404327430,3600.00789,139
4,251,scip,4,1403746070,3600.18213,139
4,252,scip,0,1709100000,1252.266546,85
4,252,scip,1,1709100000,626.15034,85
4,252,scip,2,1709100000,1199.995027,85
4,252,scip,3,1709100000,1027.722411,85
4,252,scip,4,1709100000,1071.423454,85
4,253,scip,0,1614560278,1627.153732,85
4,253,scip,1,1615907565,1286.812779,85
4,253,scip,2,1615395646,3260.758743,85
4,253,scip,3,1615685632,3455.3728,85
4,253,scip,4,1615126970,3042.383841,85
4,254,scip,0,1541449000,1903.222899,85
4,254,scip,1,1549993000,3600.884323,85
4,254,scip,2,1548696000,3601.151347,85
4,254,scip,3,1541664000,1895.025035,85
