bit_num,problem,mode,seed,Objective value,Solving time,num_generators
2,200,scip,0,960052500,44.668122,639
2,200,scip,1,961978910,67.546504,639
2,200,scip,2,961268570,41.858753,639
2,200,scip,3,961122270,37.178155,639
2,200,scip,4,960175960,43.067465,639
2,201,scip,0,921695000,3600.002539,639
2,201,scip,1,921735000,3600.322175,639
2,201,scip,2,923025000,3600.235117,639
2,201,scip,3,921857000,3600.002254,639
2,201,scip,4,920496000,3600.034282,639
2,202,scip,0,926326375,3600.022296,639
2,202,scip,1,923082688,3600.011518,639
2,202,scip,2,924961821,3600.003673,639
2,202,scip,3,926233337,3600.006518,639
2,202,scip,4,925503482,3600.005094,639
2,203,scip,0,934400000,26.067406,639
2,203,scip,1,934400000,27.108349,639
2,203,scip,2,934400000,17.103019,639
2,203,scip,3,934400000,24.785628,639
2,203,scip,4,934400000,27.300587,639
2,204,scip,0,877602617,79.552929,967
2,204,scip,1,879819614,43.65672,967
2,204,scip,2,880813206,47.452838,967
2,204,scip,3,882781660,56.115235,967
2,204,scip,4,879368768,33.603662,967
2,205,scip,0,874994000,19.981599,968
2,205,scip,1,875897000,10.998189,968
2,205,scip,2,876231000,20.410143,968
2,205,scip,3,874972000,9.186706,968
2,205,scip,4,873827000,13.203422,968
2,206,scip,0,878542850,14.939418,965
2,206,scip,1,874729680,43.186204,965
2,206,scip,2,876187420,12.580719,965
2,206,scip,3,874595830,11.68659,965
2,206,scip,4,876758490,9.316032,965
2,207,scip,0,889200000,1.300276,1018
2,207,scip,1,889200000,1.300086,1018
2,207,scip,2,889200000,1.328721,1018
2,207,scip,3,889200000,1.311699,1018
2,207,scip,4,889200000,1.346076,1018
2,208,scip,0,1110514700,111.955921,255
2,208,scip,1,1112620130,102.650837,255
2,208,scip,2,1107709400,140.960907,255
2,208,scip,3,1109682020,139.273871,255
2,208,scip,4,1112162170,154.226365,255
2,209,scip,0,1059937000,263.442854,255
2,209,scip,1,1060320000,1180.49559,255
2,209,scip,2,1061543000,195.099962,255
2,209,scip,3,1062581000,365.662358,255
2,209,scip,4,1061660000,153.066592,255
2,210,scip,0,1063041902,190.108451,255
2,210,scip,1,1062329711,126.451382,255
2,210,scip,2,1062005603,246.899384,255
2,210,scip,3,1061412879,119.672595,255
2,210,scip,4,1062440595,246.505892,255
2,211,scip,0,1048700000,124.244748,255
2,211,scip,1,1048700000,71.982363,255
2,211,scip,2,1048700000,112.587984,255
2,211,scip,3,1048700000,124.868464,255
2,211,scip,4,1048700000,110.099046,255
2,212,scip,0,1362610000,735.263614,127
2,212,scip,1,1364500000,782.570806,127
2,212,scip,2,1361072000,806.559869,127
2,212,scip,3,1362733000,938.457817,127
2,212,scip,4,1361137000,1003.9563,127
2,213,scip,0,1362810870,449.827561,127
2,213,scip,1,1363097110,746.345717,127
2,213,scip,2,1364193370,717.666566,127
2,213,scip,3,1361403880,510.555015,127
2,213,scip,4,1363870600,542.066666,127
2,214,scip,0,1211700000,731.092591,127
2,214,scip,1,1211700000,455.625701,127
2,214,scip,2,1211700000,385.415243,127
2,214,scip,3,1211700000,514.539673,127
2,214,scip,4,1211700000,591.370808,127
2,215,scip,0,1198031497,3600.435781,127
2,215,scip,1,1197598266,3600.231507,127
2,215,scip,2,1198901514,3600.218176,127
2,215,scip,3,1199816697,3600.028029,127
2,215,scip,4,1199449713,3600.022962,127
2,216,scip,0,917719090,144.990729,924
2,216,scip,1,914244350,127.907688,924
2,216,scip,2,912359670,633.901439,924
2,216,scip,3,915052830,182.701007,924
2,216,scip,4,919147230,110.976421,924
2,217,scip,0,896598000,3600.004552,902
2,217,scip,1,897658000,3600.001235,902
2,217,scip,2,895313000,3600.004313,902
2,217,scip,3,896675000,3600.092689,902
2,217,scip,4,894146000,3600.002713,902
2,218,scip,0,889613173,3600.00515,902
2,218,scip,1,889931876,3600.001276,902
2,218,scip,2,889542475,3600.117048,902
2,218,scip,3,891750245,3600.000191,902
2,218,scip,4,891192728,3600.006409,902
2,219,scip,0,903100000,4.00314,1048
2,219,scip,1,903100000,4.317999,1048
2,219,scip,2,903100000,4.083779,1048
2,219,scip,3,903100000,4.29357,1048
2,219,scip,4,903100000,4.028519,1048
2,220,scip,0,188600000,3.684803,198
2,220,scip,1,188400000,3.613433,198
2,220,scip,2,188000000,3.910864,198
2,220,scip,3,188800000,3.753511,198
2,220,scip,4,188200000,3.689697,198
2,221,scip,0,188755000,3.826905,194
2,221,scip,1,188945000,3.617611,194
2,221,scip,2,188533000,4.131117,194
2,221,scip,3,187996000,4.343317,194
2,221,scip,4,188077000,3.517663,194
2,222,scip,0,186753360,4.879165,168
2,222,scip,1,187346880,5.70563,168
2,222,scip,2,186782510,4.912195,168
2,222,scip,3,187235350,5.810465,168
2,222,scip,4,186457850,6.763215,168
2,223,scip,0,187328868,4.135323,171
2,223,scip,1,187172747,3.319919,171
2,223,scip,2,188580809,4.184722,171
2,223,scip,3,186622129,5.128328,171
2,223,scip,4,188076480,4.658014,171
2,224,scip,0,108900000,0.055590999999999995,118
2,224,scip,1,108900000,0.055038,118
2,224,scip,2,108900000,0.056047,118
2,224,scip,3,108900000,0.059018999999999995,118
2,224,scip,4,108900000,0.061584999999999994,118
2,225,scip,0,106766670,0.067956,92
2,225,scip,1,107223650,0.075519,92
2,225,scip,2,107017810,0.07027699999999999,92
2,225,scip,3,107422870,0.075667,92
2,225,scip,4,106963080,0.06866,92
2,226,scip,0,102678639,16.495685,103
2,226,scip,1,102725405,4.752969,103
2,226,scip,2,102347546,18.608647,103
2,226,scip,3,102345667,2.836067,103
2,226,scip,4,102881040,2.566492,103
2,227,scip,0,100828000,49.73953,103
2,227,scip,1,100792000,49.365799,103
2,227,scip,2,100542000,0.33430499999999996,103
2,227,scip,3,100385000,43.263346,103
2,227,scip,4,100305000,53.676253,103
2,228,scip,0,188300000,19.772805,348
2,228,scip,1,188300000,19.355124,348
2,228,scip,2,188300000,19.555351,348
2,228,scip,3,188300000,19.61062,348
2,228,scip,4,188300000,22.481,348
2,229,scip,0,187743000,20.159139,324
2,229,scip,1,187293000,20.083072,324
2,229,scip,2,187361000,22.138919,324
2,229,scip,3,187001000,19.527628,324
2,229,scip,4,187369000,20.686806,324
2,230,scip,0,187263570,18.310114,318
2,230,scip,1,186897070,18.728012,318
2,230,scip,2,186730080,21.492054,318
2,230,scip,3,186600740,30.285894,318
2,230,scip,4,186762960,18.971887,318
2,231,scip,0,186394319,21.599918,321
2,231,scip,1,186532103,17.828612,321
2,231,scip,2,186976701,24.28554,321
2,231,scip,3,186712265,17.877852,321
2,231,scip,4,186617251,22.887123,321
2,232,scip,0,187400000,82.190436,598
2,232,scip,1,187600000,75.472706,598
2,232,scip,2,187500000,79.965781,598
2,232,scip,3,187500000,78.045934,598
2,232,scip,4,187500000,80.320677,598
2,233,scip,0,186206000,69.589161,567
2,233,scip,1,186168000,70.138697,567
2,233,scip,2,186171000,64.574767,567
2,233,scip,3,186202000,81.435557,567
2,233,scip,4,186242000,71.745226,567
2,234,scip,0,186751360,76.092652,547
2,234,scip,1,186723870,86.687709,547
2,234,scip,2,186786570,80.712151,547
2,234,scip,3,186784940,60.45201,547
2,234,scip,4,186741970,89.51013,547
2,235,scip,0,186869287,78.052336,573
2,235,scip,1,187460635,84.687531,573
2,235,scip,2,187750133,82.797493,573
2,235,scip,3,187502236,65.222523,573
2,235,scip,4,187038238,80.714732,573
2,236,scip,0,139600000,0.235002,148
2,236,scip,1,139600000,0.214597,148
2,236,scip,2,139600000,0.718232,148
2,236,scip,3,139600000,0.211218,148
2,236,scip,4,139600000,0.216436,148
2,237,scip,0,137519000,0.221299,128
2,237,scip,1,138140000,0.226342,128
2,237,scip,2,137958000,0.220235,128
2,237,scip,3,138223000,0.195719,128
2,237,scip,4,138295000,0.213201,128
2,238,scip,0,121342570,3600.006054,123
2,238,scip,1,120938770,3600.006233,123
2,238,scip,2,121455440,3600.003611,123
2,238,scip,3,121345650,3600.004288,123
2,238,scip,4,120957360,3600.006081,123
2,239,scip,0,120998158,3600.007159,123
2,239,scip,1,120974588,3600.011273,123
2,239,scip,2,120795221,3600.018573,123
2,239,scip,3,120619413,3600.004187,123
2,239,scip,4,120922739,3600.009485,123
2,240,scip,0,1367304000,192.048642,426
2,240,scip,1,1368359000,127.36558,426
2,240,scip,2,1368890000,168.38596,426
2,240,scip,3,1366402000,237.205735,426
2,240,scip,4,1369796000,130.025213,426
2,241,scip,0,1367646400,266.183461,426
2,241,scip,1,1370618710,133.076502,426
2,241,scip,2,1366430030,139.206287,426
2,241,scip,3,1367811360,118.938796,426
2,241,scip,4,1368475040,123.840592,426
2,242,scip,0,1356798063,3600.00815,426
2,242,scip,1,1357093134,3600.009147,426
2,242,scip,2,1356697830,3600.002834,426
2,242,scip,3,1359113330,3600.248664,426
2,242,scip,4,1358181082,3600.012917,426
2,243,scip,0,1367400000,150.156614,426
2,243,scip,1,1367400000,47.710498,426
2,243,scip,2,1367400000,45.032617,426
2,243,scip,3,1367400000,47.4902,426
2,243,scip,4,1367400000,54.652378,426
2,244,scip,0,1314025150,57.100183,1467
2,244,scip,1,1310317032,15.263795,1467
2,244,scip,2,1310922087,18.445855,1467
2,244,scip,3,1316814746,12.520853,1467
2,244,scip,4,1315647767,20.195414,1467
2,245,scip,0,1311557000,23.210237,1467
2,245,scip,1,1313212000,27.42497,1467
2,245,scip,2,1314492000,72.564403,1467
2,245,scip,3,1312510000,56.082685,1467
2,245,scip,4,1314132000,22.270753,1467
2,246,scip,0,1333200000,2.805076,1500
2,246,scip,1,1333200000,2.859454,1500
2,246,scip,2,1333200000,2.766185,1500
2,246,scip,3,1333200000,2.926935,1500
2,246,scip,4,1333200000,9.238369,1500
2,247,scip,0,1312583370,43.577292,1463
2,247,scip,1,1315085350,24.781982,1463
2,247,scip,2,1313541540,4.923953,1463
2,247,scip,3,1313027310,17.941754,1463
2,247,scip,4,1311369110,20.606987,1463
2,248,scip,0,1471700000,190.388316,170
2,248,scip,1,1471700000,324.491638,170
2,248,scip,2,1471700000,832.683987,170
2,248,scip,3,1471700000,258.731366,170
2,248,scip,4,1471700000,229.648658,170
2,249,scip,0,1434026000,3608.667818,170
2,249,scip,1,1434593000,3600.317905,170
2,249,scip,2,1433451000,3610.581214,170
2,249,scip,3,1433104000,3602.023642,170
2,249,scip,4,1435330000,3607.534267,170
2,250,scip,0,1545876858,1416.219424,170
2,250,scip,1,1545559125,255.785408,170
