bit_num,problem,mode,seed,Objective value,Solving time,num_generators
5,0,cp_no_symmetry,0,-1.28446e6,32.67736267,0
5,0,cp_no_symmetry,1,-1.28446e6,34.132454088,0
5,0,cp_no_symmetry,2,-1.28446e6,44.728569726,0
5,0,cp_no_symmetry,3,-1.28446e6,37.889404011,0
5,0,cp_no_symmetry,4,-1.28446e6,28.769107391,0
5,1,cp_no_symmetry,0,-1.148556e6,79.048415726,0
5,1,cp_no_symmetry,1,-1.150455e6,99.343338393,0
5,1,cp_no_symmetry,2,-1.149195e6,234.053524927,0
5,1,cp_no_symmetry,3,-1.149195e6,59.396367462,0
5,1,cp_no_symmetry,4,-1.150455e6,75.647820138,0
5,2,cp_no_symmetry,0,-1.175064e6,46.872836417,0
5,2,cp_no_symmetry,1,-1.176527e6,47.061921327,0
5,2,cp_no_symmetry,2,-1.177709e6,55.083672602,0
5,2,cp_no_symmetry,3,-1.175457e6,27.284032473000003,0
5,2,cp_no_symmetry,4,-1.177709e6,39.489762054,0
5,3,cp_no_symmetry,0,-1.966004e6,26.53421185,0
5,3,cp_no_symmetry,1,-1.966004e6,45.278449021,0
5,3,cp_no_symmetry,2,-1.966004e6,31.827412346000003,0
5,3,cp_no_symmetry,3,-1.966004e6,35.883961484000004,0
5,3,cp_no_symmetry,4,-1.966004e6,36.503612473,0
5,4,cp_no_symmetry,0,-1.198629e6,39.127860078000005,0
5,4,cp_no_symmetry,1,-1.200307e6,28.130176926,0
5,4,cp_no_symmetry,2,-1.200107e6,26.796325091,0
5,4,cp_no_symmetry,3,-1.200107e6,24.896500694,0
5,4,cp_no_symmetry,4,-1.198429e6,46.297251886000005,0
5,5,cp_no_symmetry,0,75545.0,1.658329584,0
5,5,cp_no_symmetry,1,75547.0,1.54088441,0
5,5,cp_no_symmetry,2,75546.0,1.533320684,0
5,5,cp_no_symmetry,3,75545.0,1.751724496,0
5,5,cp_no_symmetry,4,75546.0,1.644250972,0
5,6,cp_no_symmetry,0,612972.0,0.817368092,0
5,6,cp_no_symmetry,1,612953.0,0.5875717810000001,0
5,6,cp_no_symmetry,2,612972.0,0.670507101,0
5,6,cp_no_symmetry,3,612972.0,0.614544533,0
5,6,cp_no_symmetry,4,612972.0,2.30806572,0
