bit_num,problem,mode,seed,Objective value,Primal-Dual Gap,Solving time,Presolving time,num_generators
4,200,scip_no_symmetry,0,925222590,0.0,13.761028,1.508496,0
4,200,scip_no_symmetry,1,923714570,0.0,15.595315,1.51645,0
4,200,scip_no_symmetry,2,924419760,0.0,17.121185,2.235863,0
4,200,scip_no_symmetry,3,923539940,0.0,18.127388,2.129225,0
4,200,scip_no_symmetry,4,924501580,0.0,14.275723,1.540894,0
4,201,scip_no_symmetry,0,886608000,0.000585868843494903,3600.006493,4.105714,0
4,201,scip_no_symmetry,1,885863000,0.000585868843494903,3600.129596,1.476072,0
4,201,scip_no_symmetry,2,885500000,0.000585868843494903,3600.002825,1.580159,0
4,201,scip_no_symmetry,3,885021000,0.000585868843494903,3600.002122,1.6047509999999998,0
4,201,scip_no_symmetry,4,885519000,0.000585868843494903,3600.005309,4.134568,0
4,202,scip_no_symmetry,0,887616410,0.0005842714135473065,3600.002474,1.628229,0
4,202,scip_no_symmetry,1,887386105,0.0005842714135473065,3600.001449,1.508266,0
4,202,scip_no_symmetry,2,886907138,0.0005842714135473065,3600.002966,2.336854,0
4,202,scip_no_symmetry,3,887868560,0.0005842714135473065,3600.143498,4.169236,0
4,202,scip_no_symmetry,4,887204723,0.0005842714135473065,3600.002474,1.502487,0
4,203,scip_no_symmetry,0,861900000,0.00042911263593672314,3600.002329,1.689251,0
4,203,scip_no_symmetry,1,861900000,0.00042911263593672314,3600.003487,1.687658,0
4,203,scip_no_symmetry,2,861900000,0.00042911263593672314,3600.001573,1.565437,0
4,203,scip_no_symmetry,3,861900000,0.00042911263593672314,3600.002167,2.415841,0
4,203,scip_no_symmetry,4,861900000,0.00042911263593672314,3600.011879,2.165318,0
4,204,scip_no_symmetry,0,838516305,0.0007469440971583807,3600.0007,0.521735,0
4,204,scip_no_symmetry,1,838329474,0.0008206686930090318,3600.00068,0.542239,0
4,204,scip_no_symmetry,2,838787620,0.0007511419093767062,3600.000605,0.613491,0
4,204,scip_no_symmetry,3,838392300,0.0009727922176622112,3600.001896,1.711288,0
4,204,scip_no_symmetry,4,838436349,0.0007945950170642458,3600.000636,0.504348,0
4,205,scip_no_symmetry,0,835811000,0.0,571.324145,0.574824,0
4,205,scip_no_symmetry,1,835327000,0.0,551.63219,0.693133,0
4,205,scip_no_symmetry,2,836860000,0.0,836.801295,0.568892,0
4,205,scip_no_symmetry,3,836842000,0.0,509.594299,0.585325,0
4,205,scip_no_symmetry,4,835057000,0.0,675.6557,0.56687,0
4,206,scip_no_symmetry,0,836530430,0.0005907589011068672,3600.000887,0.658354,0
4,206,scip_no_symmetry,1,837761470,0.0006468153764822931,3600.006393,1.054418,0
4,206,scip_no_symmetry,2,837061280,0.0007552132886366476,3600.000916,0.548819,0
4,206,scip_no_symmetry,3,836905860,0.0006192959582790517,3600.005832,1.034422,0
4,206,scip_no_symmetry,4,836828720,0.0005815624168622709,3600.000683,0.51945,0
4,207,scip_no_symmetry,0,818700000,0.0010898885588947538,3600.000712,0.544295,0
4,207,scip_no_symmetry,1,818700000,0.0010898885588949024,3600.001163,0.894481,0
4,207,scip_no_symmetry,2,818700000,0.0010898885588947538,3600.000749,0.580749,0
4,207,scip_no_symmetry,3,818700000,0.0010898885588949024,3600.002022,1.7266629999999998,0
4,207,scip_no_symmetry,4,818700000,0.0010171554158985685,3600.000713,0.5092869999999999,0
4,208,scip_no_symmetry,0,1073767140,0.0,53.030204,3.821023,0
4,208,scip_no_symmetry,1,1073368850,0.0,73.431271,5.055716,0
