bit_num,problem,mode,seed,Objective value,Primal-Dual Gap,Solving time,Presolving time,num_generators
2,200,scip_no_symmetry,0,960052500,0.0,49.533261,2.426757,0
2,200,scip_no_symmetry,1,961978910,0.0,70.742762,1.547959,0
2,200,scip_no_symmetry,2,961268570,0.0,139.961591,4.200644,0
2,200,scip_no_symmetry,3,961122270,0.0,132.910376,4.164371,0
2,200,scip_no_symmetry,4,960175960,0.0,46.324335,1.473122,0
2,201,scip_no_symmetry,0,921695000,0.0005034401745259272,3600.037776,4.080934,0
2,201,scip_no_symmetry,1,921735000,0.0005034401745259272,3600.004821,3.409594,0
2,201,scip_no_symmetry,2,923025000,0.0005034401745259272,3600.204034,3.630552,0
2,201,scip_no_symmetry,3,921103000,0.0005034401745259272,3600.004745,1.613207,0
2,201,scip_no_symmetry,4,920728000,0.0005034401745259272,3600.003128,1.4404,0
2,202,scip_no_symmetry,0,926326375,0.0004972650422675286,3600.002566,3.780999,0
2,202,scip_no_symmetry,1,923082688,0.0004972650422675286,3600.009736,3.951466,0
2,202,scip_no_symmetry,2,924961821,0.0004972650422675286,3600.0037,4.563858,0
2,202,scip_no_symmetry,3,924402768,0.0004972650422675286,3600.270148,3.642736,0
2,202,scip_no_symmetry,4,923160472,0.0004972650422675286,3600.002005,1.622111,0
2,203,scip_no_symmetry,0,934400000,0.0,27.030103,1.654356,0
2,203,scip_no_symmetry,1,934400000,0.0,26.605866,1.601227,0
2,203,scip_no_symmetry,2,934400000,0.0,21.775532,2.383142,0
2,203,scip_no_symmetry,3,934400000,0.0,31.055836,2.428797,0
2,203,scip_no_symmetry,4,934400000,0.0,26.920296,1.441407,0
2,204,scip_no_symmetry,0,880751509,0.0,70.590005,0.211569,0
2,204,scip_no_symmetry,1,879063304,0.0,55.517148,0.227802,0
2,204,scip_no_symmetry,2,877747100,0.0,59.72574,0.219457,0
2,204,scip_no_symmetry,3,879855491,0.0,141.366054,0.592581,0
2,204,scip_no_symmetry,4,879693030,0.0,64.60795,0.210218,0
2,205,scip_no_symmetry,0,873126000,0.0,15.928361,0.215401,0
2,205,scip_no_symmetry,1,873206000,0.0,15.873554,0.198712,0
2,205,scip_no_symmetry,2,873222000,0.0,20.794269,0.202996,0
2,205,scip_no_symmetry,3,877390000,0.0,8.905747999999999,0.232649,0
2,205,scip_no_symmetry,4,874876000,0.0,16.273691,0.388877,0
2,206,scip_no_symmetry,0,877285930,0.0,10.374256,0.219516,0
2,206,scip_no_symmetry,1,879756040,0.0,33.603,0.202653,0
2,206,scip_no_symmetry,2,877390160,0.0,26.029325,0.24004,0
2,206,scip_no_symmetry,3,873914440,0.0,12.18887,0.232979,0
2,206,scip_no_symmetry,4,876233760,0.0,21.946512,0.228712,0
2,207,scip_no_symmetry,0,889200000,0.0,0.8993559999999999,0.209856,0
2,207,scip_no_symmetry,1,889200000,0.0,2.910075,0.7214969999999999,0
2,207,scip_no_symmetry,2,889200000,0.0,0.948637,0.227367,0
2,207,scip_no_symmetry,3,889200000,0.0,0.949848,0.236537,0
2,207,scip_no_symmetry,4,889200000,0.0,2.901403,0.7115159999999999,0
2,208,scip_no_symmetry,0,1110514700,0.0,125.962458,3.941227,0
2,208,scip_no_symmetry,1,1112620130,0.0,101.471126,3.763452,0
2,208,scip_no_symmetry,2,1107709400,0.0,497.897398,10.209811,0
2,208,scip_no_symmetry,3,1109682020,0.0,150.870994,3.790733,0
2,208,scip_no_symmetry,4,1112162170,0.0,152.845836,3.855541,0
2,209,scip_no_symmetry,0,1059937000,0.0,264.335292,3.953701,0
2,209,scip_no_symmetry,1,1060320000,0.0,339.167719,3.852081,0
2,209,scip_no_symmetry,2,1061543000,0.0,198.72881,3.826038,0
2,209,scip_no_symmetry,3,1062581000,0.0,370.108412,3.593732,0
2,209,scip_no_symmetry,4,1061660000,0.0,530.410323,10.437738,0
2,210,scip_no_symmetry,0,1063041902,0.0,211.135202,3.822761,0
2,210,scip_no_symmetry,1,1062329711,0.0,139.539836,3.826694,0
2,210,scip_no_symmetry,2,1062005603,0.0,256.324515,3.769149,0
2,210,scip_no_symmetry,3,1061412879,0.0,132.202373,3.702657,0
2,210,scip_no_symmetry,4,1062440595,0.0,892.086803,10.329047,0
2,211,scip_no_symmetry,0,1048700000,0.0,160.437906,5.305517,0
2,211,scip_no_symmetry,1,1048700000,0.0,75.830868,3.755932,0
2,211,scip_no_symmetry,2,1048700000,0.0,426.250764,10.578996,0
2,211,scip_no_symmetry,3,1048700000,0.0,116.293346,3.737323,0
2,211,scip_no_symmetry,4,1048700000,0.0,144.441124,5.54011,0
2,212,scip_no_symmetry,0,1363498000,0.0,331.364753,8.306091,0
2,212,scip_no_symmetry,1,1361504000,0.0,2180.002877,24.193138,0
2,212,scip_no_symmetry,2,1363375000,0.0,2178.517527,24.787348,0
2,212,scip_no_symmetry,3,1363066000,0.0,468.179525,8.757945,0
2,212,scip_no_symmetry,4,1364424000,0.0,3107.325788,23.980318,0
2,213,scip_no_symmetry,0,1363413680,0.0,2314.981867,24.530628,0
2,213,scip_no_symmetry,1,1363466870,0.0,693.005649,8.521841,0
2,213,scip_no_symmetry,2,1363929710,0.0,1299.44679,24.311454,0
2,213,scip_no_symmetry,3,1364100700,0.0,2113.760859,24.248371,0
2,213,scip_no_symmetry,4,1363253330,0.0,2415.306499,24.169853,0
2,214,scip_no_symmetry,0,1211700000,0.0,521.012863,8.226557,0
2,214,scip_no_symmetry,1,1211700000,0.0,422.2431,8.139767,0
2,214,scip_no_symmetry,2,1211700000,0.0,1432.581573,24.727957,0
2,214,scip_no_symmetry,3,1211700000,0.0,1905.349798,25.270627,0
2,214,scip_no_symmetry,4,1211700000,0.0,2092.23679,24.216286,0
2,215,scip_no_symmetry,0,1199116649,0.0005201560468140442,3600.282407,24.428969,0
2,215,scip_no_symmetry,1,1200697566,0.0005201560468140442,3600.349258,23.913445,0
2,215,scip_no_symmetry,2,1202556804,0.0005201560468140442,3600.014803,11.599169,0
2,215,scip_no_symmetry,3,1222768414,0.017685305591677504,3600.45513,24.554013,0
2,215,scip_no_symmetry,4,1198902183,0.0005201560468140442,3601.155497,24.035938,0
2,216,scip_no_symmetry,0,917719090,0.0,130.838159,1.394395,0
2,216,scip_no_symmetry,1,914244350,0.0,455.93209,3.934748,0
2,216,scip_no_symmetry,2,912359670,0.0,1624.881302,3.5468729999999997,0
2,216,scip_no_symmetry,3,915052830,0.0,470.756689,3.891773,0
2,216,scip_no_symmetry,4,919147230,0.0,399.986928,3.551291,0
2,217,scip_no_symmetry,0,894550000,0.0007109737248840522,3600.00102,0.64033,0
2,217,scip_no_symmetry,1,895731000,0.0007109737248840522,3600.001226,0.6364139999999999,0
2,217,scip_no_symmetry,2,898791000,0.0007109737248840522,3600.001082,0.670669,0
2,217,scip_no_symmetry,3,897546000,0.0007109737248840522,3600.002003,2.161464,0
2,217,scip_no_symmetry,4,896002000,0.0007109737248840522,3600.001499,1.57885,0
2,218,scip_no_symmetry,0,888752895,0.0010016601589671137,3600.001712,1.225281,0
2,218,scip_no_symmetry,1,889600004,0.0010016601589671137,3600.001498,0.672192,0
2,218,scip_no_symmetry,2,889348304,0.0010016601589671137,3600.001155,0.696062,0
2,218,scip_no_symmetry,3,889651011,0.0010016601589671137,3600.001369,0.635469,0
2,218,scip_no_symmetry,4,889714795,0.0010016601589671137,3600.001613,0.676677,0
2,219,scip_no_symmetry,0,903100000,0.0,4.2544509999999995,1.135494,0
2,219,scip_no_symmetry,1,903100000,0.0,2.699147,0.6115659999999999,0
2,219,scip_no_symmetry,2,903100000,0.0,2.774133,0.6746409999999999,0
2,219,scip_no_symmetry,3,903100000,0.0,2.827757,0.6698489999999999,0
2,219,scip_no_symmetry,4,903100000,0.0,3.065171,0.789986,0
2,220,scip_no_symmetry,0,188200000,0.0,0.464674,0.225654,0
2,220,scip_no_symmetry,1,188200000,0.0,0.27788999999999997,0.125585,0
2,220,scip_no_symmetry,2,188200000,0.0,0.287896,0.126373,0
2,220,scip_no_symmetry,3,188200000,0.0,0.25990399999999997,0.11637,0
2,220,scip_no_symmetry,4,188200000,0.0,0.271373,0.124333,0
2,221,scip_no_symmetry,0,188788000,0.0,0.371653,0.109799,0
2,221,scip_no_symmetry,1,188515000,0.0,0.39601,0.122874,0
2,221,scip_no_symmetry,2,189123000,0.0,0.458915,0.126089,0
2,221,scip_no_symmetry,3,189169000,0.0,0.398395,0.11283,0
2,221,scip_no_symmetry,4,189268000,0.0,0.409616,0.118649,0
2,222,scip_no_symmetry,0,187076740,0.0,0.425557,0.126143,0
2,222,scip_no_symmetry,1,186988920,0.0,0.600815,0.22424,0
2,222,scip_no_symmetry,2,186789070,0.0,0.353402,0.115932,0
2,222,scip_no_symmetry,3,186151960,0.0,0.405363,0.113305,0
2,222,scip_no_symmetry,4,187416340,0.0,0.360589,0.118491,0
2,223,scip_no_symmetry,0,188047880,0.0,1.257799,0.414045,0
2,223,scip_no_symmetry,1,187482176,0.0,0.411082,0.116454,0
2,223,scip_no_symmetry,2,187809946,0.0,0.39565,0.116769,0
2,223,scip_no_symmetry,3,188242696,0.0,0.47202,0.12703699999999998,0
2,223,scip_no_symmetry,4,188312119,0.0,0.413154,0.12252,0
2,224,scip_no_symmetry,0,108900000,0.0,0.045689999999999995,0.017498,0
2,224,scip_no_symmetry,1,108900000,0.0,0.05126,0.019417,0
2,224,scip_no_symmetry,2,108900000,0.0,0.051323999999999995,0.019163,0
2,224,scip_no_symmetry,3,108900000,0.0,0.049103999999999995,0.017369,0
2,224,scip_no_symmetry,4,108900000,0.0,0.052277,0.019715999999999997,0
2,225,scip_no_symmetry,0,106766670,0.0,0.059562,0.019633,0
2,225,scip_no_symmetry,1,107223650,0.0,0.061955,0.018237,0
2,225,scip_no_symmetry,2,107017810,0.0,0.090348,0.034961,0
2,225,scip_no_symmetry,3,107422870,0.0,0.096016,0.024215,0
2,225,scip_no_symmetry,4,106963080,0.0,0.068604,0.01954,0
2,226,scip_no_symmetry,0,102198521,0.0,31.47001,0.06575,0
2,226,scip_no_symmetry,1,102866105,0.0,22.008283,0.017331,0
2,226,scip_no_symmetry,2,103202812,0.0,22.164926,0.060944,0
2,226,scip_no_symmetry,3,102345246,0.0,20.804205,0.053687,0
2,226,scip_no_symmetry,4,103055965,0.0,19.137351,0.049521,0
2,227,scip_no_symmetry,0,100828000,0.0,52.929455,0.029966999999999997,0
2,227,scip_no_symmetry,1,100792000,0.0,174.565035,0.31828999999999996,0
2,227,scip_no_symmetry,2,100542000,0.0,0.30192399999999997,0.027159,0
2,227,scip_no_symmetry,3,100385000,0.0,54.262732,0.112872,0
2,227,scip_no_symmetry,4,99965000,0.0,56.317607,0.16724999999999998,0
2,228,scip_no_symmetry,0,188300000,0.0,3.654068,0.9483,0
2,228,scip_no_symmetry,1,188300000,0.0,1.192227,0.330937,0
2,228,scip_no_symmetry,2,188300000,0.0,1.019353,0.30109199999999997,0
2,228,scip_no_symmetry,3,188300000,0.0,1.18123,0.276389,0
2,228,scip_no_symmetry,4,188300000,0.0,0.890778,0.301593,0
2,229,scip_no_symmetry,0,187540000,0.0,1.521585,0.30716499999999997,0
2,229,scip_no_symmetry,1,187586000,0.0,1.298366,0.377699,0
2,229,scip_no_symmetry,2,187531000,0.0,1.833099,0.6419039999999999,0
2,229,scip_no_symmetry,3,187327000,0.0,0.924851,0.27739199999999997,0
2,229,scip_no_symmetry,4,187565000,0.0,0.942633,0.311739,0
2,230,scip_no_symmetry,0,187388120,0.0,1.207005,0.270156,0
2,230,scip_no_symmetry,1,186378570,0.0,1.170804,0.288758,0
2,230,scip_no_symmetry,2,186813830,0.0,1.192208,0.294685,0
2,230,scip_no_symmetry,3,187661860,0.0,1.086303,0.283752,0
2,230,scip_no_symmetry,4,187280370,0.0,1.294999,0.291941,0
2,231,scip_no_symmetry,0,186526315,0.0,1.498919,0.29128499999999996,0
2,231,scip_no_symmetry,1,186526315,0.0,1.193567,0.291064,0
2,231,scip_no_symmetry,2,186526315,0.0,1.78008,0.59775,0
2,231,scip_no_symmetry,3,186526315,0.0,1.914328,0.6244379999999999,0
2,231,scip_no_symmetry,4,186526315,0.0,1.273713,0.29572699999999996,0
2,232,scip_no_symmetry,0,187700000,0.0,2.247646,0.7196739999999999,0
2,232,scip_no_symmetry,1,187700000,0.0,2.219578,0.758425,0
2,232,scip_no_symmetry,2,187700000,0.0,2.239611,0.745362,0
2,232,scip_no_symmetry,3,187700000,0.0,2.663513,0.812732,0
2,232,scip_no_symmetry,4,187700000,0.0,2.378446,0.7671469999999999,0
2,233,scip_no_symmetry,0,186384000,0.0,3.487126,0.911891,0
2,233,scip_no_symmetry,1,186384000,0.0,3.105377,0.729135,0
2,233,scip_no_symmetry,2,186384000,0.0,2.61587,0.890798,0
2,233,scip_no_symmetry,3,186384000,0.0,2.423249,0.76134,0
2,233,scip_no_symmetry,4,186384000,0.0,12.265971,2.388968,0
2,234,scip_no_symmetry,0,186714170,0.0,1.866896,0.709147,0
2,234,scip_no_symmetry,1,186714170,0.0,6.171412,2.313865,0
2,234,scip_no_symmetry,2,186714170,0.0,6.185303,2.30983,0
2,234,scip_no_symmetry,3,186714170,0.0,2.303919,0.868869,0
2,234,scip_no_symmetry,4,186714170,0.0,8.122034,2.304216,0
2,235,scip_no_symmetry,0,186498061,0.0,2.308343,0.7949379999999999,0
2,235,scip_no_symmetry,1,186657087,0.0,2.328901,0.828278,0
2,235,scip_no_symmetry,2,187319299,0.0,3.496205,1.375332,0
2,235,scip_no_symmetry,3,187803171,0.0,2.779721,0.893072,0
2,235,scip_no_symmetry,4,187309761,0.0,2.27275,0.8281759999999999,0
2,236,scip_no_symmetry,0,139600000,0.0,0.211358,0.06317299999999999,0
2,236,scip_no_symmetry,1,139600000,0.0,0.19527,0.065536,0
2,236,scip_no_symmetry,2,139600000,0.0,0.183073,0.061867,0
2,236,scip_no_symmetry,3,139600000,0.0,0.195734,0.05848,0
2,236,scip_no_symmetry,4,139600000,0.0,0.16900099999999998,0.058855,0
2,237,scip_no_symmetry,0,137519000,0.0,0.301624,0.08800999999999999,0
2,237,scip_no_symmetry,1,138140000,0.0,0.6423369999999999,0.200303,0
2,237,scip_no_symmetry,2,137958000,0.0,0.205409,0.061935,0
2,237,scip_no_symmetry,3,138223000,0.0,0.197567,0.06268,0
2,237,scip_no_symmetry,4,138295000,0.0,0.6038169999999999,0.196187,0
